Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
生活 (n),民主 (n),Undirected,232260,notion-notion,,2,,,,notion<--->notion
生活 (n),战后 (n),Undirected,232261,notion-notion,,2,,,,notion<--->notion
生活 (n),问题 (n),Undirected,232262,notion-notion,,7,,,,notion<--->notion
生活 (n),政治 (n),Undirected,232263,notion-notion,,17,,,,notion<--->notion
生活 (n),内战 (n),Undirected,232264,notion-notion,,1,,,,notion<--->notion
生活 (n),和平 (n),Undirected,232265,notion-notion,,10,,,,notion<--->notion
生活 (n),社会 (n),Undirected,232266,notion-notion,,1,,,,notion<--->notion
生活 (n),独立运动 (n),Undirected,232267,notion-notion,,2,,,,notion<--->notion
生活 (n),展望 (n),Undirected,232268,notion-notion,,5,,,,notion<--->notion
生活 (n),未来 (n),Undirected,232269,notion-notion,,1,,,,notion<--->notion
生活 (n),解放 (n),Undirected,232270,notion-notion,,1,,,,notion<--->notion
生活 (n),大学 (n),Undirected,232271,notion-notion,,1,,,,notion<--->notion
生活 (n),应该 (n),Undirected,232272,notion-notion,,1,,,,notion<--->notion
生活 (n),澈底 (n),Undirected,232273,notion-notion,,1,,,,notion<--->notion
生活 (n),国家 (n),Undirected,232274,notion-notion,,2,,,,notion<--->notion
生活 (n),科学 (n),Undirected,232275,notion-notion,,1,,,,notion<--->notion
生活 (n),革命 (n),Undirected,232276,notion-notion,,2,,,,notion<--->notion
生活 (n),还是 (n),Undirected,232277,notion-notion,,1,,,,notion<--->notion
生活 (n),本质 (n),Undirected,232278,notion-notion,,1,,,,notion<--->notion
生活 (n),之间 (n),Undirected,232279,notion-notion,,13,,,,notion<--->notion
生活 (n),学生 (n),Undirected,232280,notion-notion,,1,,,,notion<--->notion
生活 (n),政府 (n),Undirected,232281,notion-notion,,1,,,,notion<--->notion
生活 (n),惩办 (n),Undirected,232282,notion-notion,,1,,,,notion<--->notion
生活 (n),一点 (n),Undirected,232283,notion-notion,,1,,,,notion<--->notion
生活 (n),争取 (n),Undirected,232284,notion-notion,,1,,,,notion<--->notion
生活 (n),消灭 (n),Undirected,232285,notion-notion,,1,,,,notion<--->notion
生活 (n),创建 (n),Undirected,232286,notion-notion,,1,,,,notion<--->notion
生活 (n),成长 (n),Undirected,232287,notion-notion,,1,,,,notion<--->notion
生活 (n),作风 (n),Undirected,232288,notion-notion,,1,,,,notion<--->notion
生活 (n),精神 (n),Undirected,232289,notion-notion,,3,,,,notion<--->notion
生活 (n),大局 (n),Undirected,232290,notion-notion,,13,,,,notion<--->notion
生活 (n),任务 (n),Undirected,232291,notion-notion,,1,,,,notion<--->notion
生活 (n),东南亚 (n),Undirected,232292,notion-notion,,4,,,,notion<--->notion
生活 (n),妇女 (n),Undirected,232293,notion-notion,,1,,,,notion<--->notion
生活 (n),乐观 (n),Undirected,232294,notion-notion,,1,,,,notion<--->notion
生活 (n),艰难 (n),Undirected,232295,notion-notion,,13,,,,notion<--->notion
生活 (n),一切 (n),Undirected,232296,notion-notion,,1,,,,notion<--->notion
生活 (n),两个 (n),Undirected,232297,notion-notion,,2,,,,notion<--->notion
生活 (n),展开 (n),Undirected,232298,notion-notion,,1,,,,notion<--->notion
生活 (n),大家 (n),Undirected,232299,notion-notion,,1,,,,notion<--->notion
生活 (n),进一言 (n),Undirected,232300,notion-notion,,1,,,,notion<--->notion
生活 (n),错觉 (n),Undirected,232301,notion-notion,,1,,,,notion<--->notion
生活 (n),梁漱溟 (n),Undirected,232302,notion-notion,,1,,,,notion<--->notion
生活 (n),诚意 (n),Undirected,232303,notion-notion,,1,,,,notion<--->notion
生活 (n),道德 (n),Undirected,232304,notion-notion,,1,,,,notion<--->notion
生活 (n),苦闷 (n),Undirected,232305,notion-notion,,13,,,,notion<--->notion
生活 (n),看看 (n),Undirected,232306,notion-notion,,1,,,,notion<--->notion
生活 (n),法统 (n),Undirected,232307,notion-notion,,1,,,,notion<--->notion
生活 (n),坚定 (n),Undirected,232308,notion-notion,,1,,,,notion<--->notion
生活 (n),启蒙运动 (n),Undirected,232309,notion-notion,,1,,,,notion<--->notion
生活 (n),环境 (n),Undirected,232310,notion-notion,,1,,,,notion<--->notion
生活 (n),工商界 (n),Undirected,232311,notion-notion,,1,,,,notion<--->notion
生活 (n),工作者 (n),Undirected,232312,notion-notion,,1,,,,notion<--->notion
生活 (n),释放 (n),Undirected,232313,notion-notion,,1,,,,notion<--->notion
生活 (n),和谈 (n),Undirected,232314,notion-notion,,1,,,,notion<--->notion
生活 (n),信心 (n),Undirected,232315,notion-notion,,1,,,,notion<--->notion
生活 (n),真假 (n),Undirected,232316,notion-notion,,1,,,,notion<--->notion
生活 (n),威胁 (n),Undirected,232317,notion-notion,,2,,,,notion<--->notion
生活 (n),认清 (n),Undirected,232318,notion-notion,,1,,,,notion<--->notion
生活 (n),只有 (n),Undirected,232319,notion-notion,,1,,,,notion<--->notion
生活 (n),怒潮 (n),Undirected,232320,notion-notion,,2,,,,notion<--->notion
生活 (n),战鬥 (n),Undirected,232321,notion-notion,,1,,,,notion<--->notion
生活 (n),几种 (n),Undirected,232322,notion-notion,,1,,,,notion<--->notion
生活 (n),座谈 (n),Undirected,232323,notion-notion,,20,,,,notion<--->notion
生活 (n),打击 (n),Undirected,232324,notion-notion,,1,,,,notion<--->notion
生活 (n),为例 (n),Undirected,232325,notion-notion,,1,,,,notion<--->notion
生活 (n),转形期 (n),Undirected,232326,notion-notion,,1,,,,notion<--->notion
生活 (n),战犯 (n),Undirected,232327,notion-notion,,3,,,,notion<--->notion
生活 (n),北京大学 (n),Undirected,232328,notion-notion,,1,,,,notion<--->notion
生活 (n),统帅 (n),Undirected,232329,notion-notion,,1,,,,notion<--->notion
生活 (n),中产阶级 (n),Undirected,232330,notion-notion,,1,,,,notion<--->notion
生活 (n),晦明 (n),Undirected,232331,notion-notion,,13,,,,notion<--->notion
生活 (n),无罪 (n),Undirected,232332,notion-notion,,1,,,,notion<--->notion
生活 (n),合理 (n),Undirected,232333,notion-notion,,2,,,,notion<--->notion
生活 (n),做出 (n),Undirected,232334,notion-notion,,1,,,,notion<--->notion
生活 (n),是非 (n),Undirected,232335,notion-notion,,2,,,,notion<--->notion
生活 (n),新岁 (n),Undirected,232336,notion-notion,,3,,,,notion<--->notion
生活 (n),陈纳德 (n),Undirected,232337,notion-notion,,1,,,,notion<--->notion
生活 (n),一所 (n),Undirected,232338,notion-notion,,1,,,,notion<--->notion
生活 (n),封建残余 (n),Undirected,232339,notion-notion,,1,,,,notion<--->notion
生活 (n),以德 (n),Undirected,232340,notion-notion,,2,,,,notion<--->notion
生活 (n),小不忍则乱大谋 (n),Undirected,232341,notion-notion,,1,,,,notion<--->notion
生活 (n),算作 (n),Undirected,232342,notion-notion,,1,,,,notion<--->notion
生活 (n),富有 (n),Undirected,232343,notion-notion,,2,,,,notion<--->notion
生活 (n),生气 (n),Undirected,232344,notion-notion,,2,,,,notion<--->notion
生活 (n),摧毁 (n),Undirected,232345,notion-notion,,1,,,,notion<--->notion
生活 (n),旧社会 (n),Undirected,232346,notion-notion,,1,,,,notion<--->notion
生活 (n),和贩 (n),Undirected,232347,notion-notion,,1,,,,notion<--->notion
生活 (n),等于 (n),Undirected,232348,notion-notion,,1,,,,notion<--->notion
生活 (n),周旋到底 (n),Undirected,232349,notion-notion,,1,,,,notion<--->notion
生活 (n),催生 (n),Undirected,232350,notion-notion,,1,,,,notion<--->notion
生活 (n),送死 (n),Undirected,232351,notion-notion,,1,,,,notion<--->notion
生活 (n),不可分割 (n),Undirected,232352,notion-notion,,1,,,,notion<--->notion
生活 (n),人民币 (n),Undirected,232353,notion-notion,,1,,,,notion<--->notion
生活 (n),早日 (n),Undirected,232354,notion-notion,,1,,,,notion<--->notion
生活 (n),寄存 (n),Undirected,232355,notion-notion,,1,,,,notion<--->notion
