Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
郑振铎(1946),郑振铎,,author,"#B4B4B4",0,2,391,0,50,24218,0.923666,2,0.614663,0.686546,1507.333609
马叙伦(1946),马叙伦,,author,"#B4B4B4",0,2,391,0,61,29201,0.923666,2,0.614663,0.686546,1507.333609
景宋(1946),景宋,,author,"#B4B4B4",0,2,391,0,32,15801,0.923666,2,0.614663,0.686546,1507.333609
丁聪(1946),丁聪,,author,"#B4B4B4",0,1,241,0,30,13740,0.695953,2,0.56496,0.614981,0
求思(1946),求思,,author,"#B4B4B4",0,2,391,0,28,13933,0.923666,2,0.614663,0.686546,1507.333609
苏生(1946),苏生,,author,"#B4B4B4",0,1,80,0,26,6942,0.030021,3,0.467857,0.502545,0
白旭(1946),白旭,,author,"#B4B4B4",0,1,80,0,24,6456,0.030021,3,0.467857,0.502545,0
张君劢(1946),张君劢,,author,"#B4B4B4",0,2,263,0,25,7256,0.382653,3,0.551579,0.614822,8452.515711
周建人(1946),周建人,,author,"#B4B4B4",0,2,391,0,22,11071,0.923666,2,0.614663,0.686546,1507.333609
黄裳(1946),黄裳,,author,"#B4B4B4",0,1,241,0,21,9807,0.695953,2,0.56496,0.614981,0
孙宝毅(1946),孙宝毅,,author,"#B4B4B4",0,1,80,0,18,4950,0.030021,3,0.467857,0.502545,0
何肫林(1946),何肫林,,author,"#B4B4B4",0,1,67,0,17,2771,0.012267,3,0.378476,0.414281,0
国超(1946),国超,,author,"#B4B4B4",0,1,80,0,17,4692,0.030021,3,0.467857,0.502545,0
念青(1946),念青,,author,"#B4B4B4",0,1,184,0,17,8636,0.358356,3,0.50677,0.562977,0
蒲岗(1946),蒲岗,,author,"#B4B4B4",0,1,184,0,17,8636,0.358356,3,0.50677,0.562977,0
丕强(1946),丕强,,author,"#B4B4B4",0,2,302,0,17,7636,0.716569,2,0.584169,0.644084,2403.419252
毅生(1946),毅生,,author,"#B4B4B4",0,1,80,0,16,4432,0.030021,3,0.467857,0.502545,0
董秋斯(1946),董秋斯,,author,"#B4B4B4",0,1,184,0,14,7154,0.358356,3,0.50677,0.562977,0
何之(1946),何之,,author,"#B4B4B4",0,2,349,0,14,2944,0.730739,2,0.599886,0.666508,17525.219084
黄春生(1946),黄春生,,author,"#B4B4B4",0,1,110,0,12,2280,0.044836,3,0.451335,0.499046,0
华叔甫(1946),华叔甫,,author,"#B4B4B4",0,1,80,0,11,3102,0.030021,3,0.467857,0.502545,0
黄药眠(1946),黄药眠,,author,"#B4B4B4",0,1,52,0,11,825,0.032827,3,0.41803,0.451177,0
关夫(1946),关夫,,author,"#B4B4B4",0,1,80,0,10,2830,0.030021,3,0.467857,0.502545,0
许若明(1946),许若明,,author,"#B4B4B4",0,1,241,0,10,4780,0.695953,2,0.56496,0.614981,0
侯北人(1946),侯北人,,author,"#B4B4B4",0,1,80,0,9,2556,0.030021,3,0.467857,0.502545,0
金大均(1946),金大均,,author,"#B4B4B4",0,1,67,0,9,1539,0.012267,3,0.378476,0.414281,0
陆诒(1946),陆诒,,author,"#B4B4B4",0,1,184,0,9,4644,0.358356,3,0.50677,0.562977,0
马戈(1946),马戈,,author,"#B4B4B4",0,2,391,0,14,6911,0.923666,2,0.614663,0.686546,1507.333609
丁静(1946),丁静,,author,"#B4B4B4",0,1,184,0,8,4136,0.358356,3,0.50677,0.562977,0
司马星(1946),司马星,,author,"#B4B4B4",0,1,59,0,8,712,0.025469,3,0.462898,0.492048,0
周琦(1946),周琦,,author,"#B4B4B4",0,1,110,0,8,1552,0.044836,3,0.451335,0.499046,0
唐思礼(1946),唐思礼,,author,"#B4B4B4",0,1,67,0,8,1376,0.012267,3,0.378476,0.414281,0
朱树锦(1946),朱树锦,,author,"#B4B4B4",0,1,67,0,8,1376,0.012267,3,0.378476,0.414281,0
甘草(1946),甘草,,author,"#B4B4B4",0,1,241,0,8,3840,0.695953,2,0.56496,0.614981,0
许虚(1946),许虚,,author,"#B4B4B4",0,1,110,0,8,1552,0.044836,3,0.451335,0.499046,0
静远(1946),静远,,author,"#B4B4B4",0,3,375,0,10,4066,0.741408,2,0.608948,0.678912,6171.934535
严信民(1946),严信民,,author,"#B4B4B4",0,1,77,0,7,791,0.045653,3,0.444633,0.482983,0
吴晗(1946),吴晗,,author,"#B4B4B4",0,5,593,0,22,6980,0.988171,2,0.697272,0.78292,27136.692036
张东荪(1946),张东荪,,author,"#B4B4B4",0,5,522,0,12,2271,0.775875,2,0.66582,0.749046,48525.964324
方艾(1946),方艾,,author,"#B4B4B4",0,1,80,0,7,2002,0.030021,3,0.467857,0.502545,0
欧振文(1946),欧振文,,author,"#B4B4B4",0,1,110,0,7,1365,0.044836,3,0.451335,0.499046,0
潘大逵(1946),潘大逵,,author,"#B4B4B4",0,2,145,0,9,1118,0.08401,3,0.519326,0.558524,510.275418
蔡尚思(1946),蔡尚思,,author,"#B4B4B4",0,2,391,0,10,5081,0.923666,2,0.614663,0.686546,1507.333609
赵志华(1946),赵志华,,author,"#B4B4B4",0,1,67,0,7,1211,0.012267,3,0.378476,0.414281,0
邓初民(1946),邓初民,,author,"#B4B4B4",0,5,637,0,17,4399,1,2,0.7183,0.803912,70380.750663
郑森禹(1946),郑森禹,,author,"#B4B4B4",0,1,184,0,7,3626,0.358356,3,0.50677,0.562977,0
高克奇(1946),高克奇,,author,"#B4B4B4",0,1,59,0,7,630,0.025469,3,0.462898,0.492048,0
不移(1946),不移,,author,"#B4B4B4",0,1,80,0,6,1722,0.030021,3,0.467857,0.502545,0
严艺英(1946),严艺英,,author,"#B4B4B4",0,1,241,0,6,2892,0.695953,2,0.56496,0.614981,0
