Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
仲亨(1949),张绍贤(1949),Undirected,5299,author-author,,330,,,author<--->author
仲亨(1949),丁蕾(1949),Undirected,5300,author-author,,297,,,author<--->author
仲亨(1949),柏苍(1949),Undirected,5301,author-author,,297,,,author<--->author
仲亨(1949),波光(1949),Undirected,5302,author-author,,297,,,author<--->author
仲亨(1949),洪荒(1949),Undirected,5303,author-author,,264,,,author<--->author
仲亨(1949),陈仁炳(1949),Undirected,5304,author-author,,264,,,author<--->author
仲亨(1949),谭波莉(1949),Undirected,5305,author-author,,198,,,author<--->author
仲亨(1949),欧阳春(1949),Undirected,5306,author-author,,132,,,author<--->author
仲亨(1949),蔡尚思(1949),Undirected,5307,author-author,,66,,,author<--->author
仲亨(1949),任懿斐(1949),Undirected,5308,author-author,,99,,,author<--->author
仲亨(1949),孟宪章(1949),Undirected,5309,author-author,,99,,,author<--->author
仲亨(1949),未央(1949),Undirected,5310,author-author,,99,,,author<--->author
仲亨(1949),漆琪生(1949),Undirected,5311,author-author,,66,,,author<--->author
仲亨(1949),萧贤(1949),Undirected,5312,author-author,,99,,,author<--->author
仲亨(1949),全真(1949),Undirected,5313,author-author,,66,,,author<--->author
仲亨(1949),冰菱(1949),Undirected,5314,author-author,,66,,,author<--->author
仲亨(1949),同父(1949),Undirected,5315,author-author,,66,,,author<--->author
仲亨(1949),孙大雨(1949),Undirected,5316,author-author,,33,,,author<--->author
仲亨(1949),横眉(1949),Undirected,5317,author-author,,66,,,author<--->author
仲亨(1949),田夫之(1949),Undirected,5318,author-author,,66,,,author<--->author
仲亨(1949),艾苦鋆(1949),Undirected,5319,author-author,,66,,,author<--->author
仲亨(1949),丁兄(1949),Undirected,5320,author-author,,33,,,author<--->author
仲亨(1949),万异(1949),Undirected,5321,author-author,,33,,,author<--->author
仲亨(1949),万殊(1949),Undirected,5322,author-author,,33,,,author<--->author
仲亨(1949),之谷(1949),Undirected,5323,author-author,,33,,,author<--->author
仲亨(1949),习门(1949),Undirected,5324,author-author,,33,,,author<--->author
仲亨(1949),人立(1949),Undirected,5325,author-author,,33,,,author<--->author
仲亨(1949),何友悌(1949),Undirected,5326,author-author,,33,,,author<--->author
仲亨(1949),何旭(1949),Undirected,5327,author-author,,33,,,author<--->author
仲亨(1949),何矩(1949),Undirected,5328,author-author,,33,,,author<--->author
仲亨(1949),光华(1949),Undirected,5329,author-author,,33,,,author<--->author
仲亨(1949),刘伯陶(1949),Undirected,5330,author-author,,33,,,author<--->author
仲亨(1949),华辰(1949),Undirected,5331,author-author,,33,,,author<--->author
仲亨(1949),南人(1949),Undirected,5332,author-author,,33,,,author<--->author
仲亨(1949),卢蕾谷(1949),Undirected,5333,author-author,,33,,,author<--->author
仲亨(1949),可扬(1949),Undirected,5334,author-author,,33,,,author<--->author
仲亨(1949),夏炎德(1949),Undirected,5335,author-author,,33,,,author<--->author
仲亨(1949),奚永伟(1949),Undirected,5336,author-author,,33,,,author<--->author
仲亨(1949),学尧(1949),Undirected,5337,author-author,,33,,,author<--->author
仲亨(1949),小泉(1949),Undirected,5338,author-author,,33,,,author<--->author
仲亨(1949),岁奇(1949),Undirected,5339,author-author,,33,,,author<--->author
仲亨(1949),府师(1949),Undirected,5340,author-author,,33,,,author<--->author
仲亨(1949),康遂(1949),Undirected,5341,author-author,,33,,,author<--->author
仲亨(1949),张江帆(1949),Undirected,5342,author-author,,33,,,author<--->author
仲亨(1949),德明(1949),Undirected,5343,author-author,,33,,,author<--->author
仲亨(1949),文骊(1949),Undirected,5344,author-author,,33,,,author<--->author
仲亨(1949),方淳(1949),Undirected,5345,author-author,,33,,,author<--->author
仲亨(1949),星覆(1949),Undirected,5346,author-author,,33,,,author<--->author
仲亨(1949),春畦(1949),Undirected,5347,author-author,,33,,,author<--->author
仲亨(1949),曹锡珍(1949),Undirected,5348,author-author,,33,,,author<--->author
仲亨(1949),朝月(1949),Undirected,5349,author-author,,33,,,author<--->author
仲亨(1949),木枫(1949),Undirected,5350,author-author,,33,,,author<--->author
仲亨(1949),未明(1949),Undirected,5351,author-author,,33,,,author<--->author
仲亨(1949),李宗瀛(1949),Undirected,5352,author-author,,33,,,author<--->author
仲亨(1949),村彬(1949),Undirected,5353,author-author,,33,,,author<--->author
仲亨(1949),杜渐(1949),Undirected,5354,author-author,,33,,,author<--->author
仲亨(1949),杨卫玉(1949),Undirected,5355,author-author,,33,,,author<--->author
仲亨(1949),杨琛(1949),Undirected,5356,author-author,,33,,,author<--->author
仲亨(1949),杨诚(1949),Undirected,5357,author-author,,33,,,author<--->author
仲亨(1949),林穆光(1949),Undirected,5358,author-author,,33,,,author<--->author
仲亨(1949),武石(1949),Undirected,5359,author-author,,33,,,author<--->author
仲亨(1949),求是(1949),Undirected,5360,author-author,,33,,,author<--->author
仲亨(1949),洛羊(1949),Undirected,5361,author-author,,33,,,author<--->author
仲亨(1949),流金(1949),Undirected,5362,author-author,,33,,,author<--->author
仲亨(1949),王铁崖(1949),Undirected,5363,author-author,,33,,,author<--->author
仲亨(1949),瑞仁(1949),Undirected,5364,author-author,,33,,,author<--->author
仲亨(1949),田寿(1949),Undirected,5365,author-author,,33,,,author<--->author
仲亨(1949),由中(1949),Undirected,5366,author-author,,33,,,author<--->author
仲亨(1949),瞿士良(1949),Undirected,5367,author-author,,33,,,author<--->author
仲亨(1949),矛林(1949),Undirected,5368,author-author,,33,,,author<--->author
仲亨(1949),石童(1949),Undirected,5369,author-author,,33,,,author<--->author
仲亨(1949),石闻(1949),Undirected,5370,author-author,,33,,,author<--->author
仲亨(1949),秀英(1949),Undirected,5371,author-author,,33,,,author<--->author
仲亨(1949),秋田(1949),Undirected,5372,author-author,,33,,,author<--->author
仲亨(1949),绍声(1949),Undirected,5373,author-author,,33,,,author<--->author
仲亨(1949),绍猷(1949),Undirected,5374,author-author,,33,,,author<--->author
仲亨(1949),罗涵先(1949),Undirected,5375,author-author,,33,,,author<--->author
仲亨(1949),蒋生(1949),Undirected,5376,author-author,,33,,,author<--->author
仲亨(1949),蒙若(1949),Undirected,5377,author-author,,33,,,author<--->author
仲亨(1949),蕾谷(1949),Undirected,5378,author-author,,33,,,author<--->author
仲亨(1949),费孝通(1949),Undirected,5379,author-author,,33,,,author<--->author
仲亨(1949),辛斤(1949),Undirected,5380,author-author,,33,,,author<--->author
