Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
刘光炎(1946),刘光炎,,author,author,"#B4B4B4",0,1,283,0,114,57342,0.111974,3,0.43949,0.499678,0
什之(1946),什之,,author,author,"#B4B4B4",0,1,322,0,50,38450,0.283156,3,0.490754,0.545572,0
郑振铎(1946),郑振铎,,author,author,"#B4B4B4",0,2,391,0,50,24218,0.275858,2,0.552147,0.594444,1582.528271
马叙伦(1946),马叙伦,,author,author,"#B4B4B4",0,3,737,0,70,35366,0.778296,2,0.608287,0.678019,5123.931719
景宋(1946),景宋,,author,author,"#B4B4B4",0,4,1023,0,36,18819,0.992655,2,0.6641,0.747101,19606.48036
丁聪(1946),丁聪,,author,author,"#B4B4B4",0,2,604,0,38,19228,0.728709,2,0.585407,0.645894,2153.775537
高尔基(1946),高尔基,,author,author,"#B4B4B4",0,1,322,0,29,22910,0.283156,3,0.490754,0.545572,0
求思(1946),求思,,author,author,"#B4B4B4",0,2,391,0,28,13933,0.275858,2,0.552147,0.594444,1582.528271
苏生(1946),苏生,,author,author,"#B4B4B4",0,1,80,0,26,6942,0.012078,3,0.427156,0.456039,0
白旭(1946),白旭,,author,author,"#B4B4B4",0,1,80,0,24,6456,0.012078,3,0.427156,0.456039,0
张君劢(1946),张君劢,,author,author,"#B4B4B4",0,2,263,0,25,7256,0.139214,3,0.524848,0.558132,11066.230264
周建人(1946),周建人,,author,author,"#B4B4B4",0,3,737,0,24,12455,0.778296,2,0.608287,0.678019,5123.931719
黄裳(1946),黄裳,,author,author,"#B4B4B4",0,1,241,0,21,9807,0.196457,3,0.495452,0.535749,0
林之同(1946),林之同,,author,author,"#B4B4B4",0,1,322,0,20,15980,0.283156,3,0.490754,0.545572,0
余伯约(1946),余伯约,,author,author,"#B4B4B4",0,2,545,0,20,15687,0.446952,2,0.5758,0.631643,5856.334623
文琴(1946),文琴,,author,author,"#B4B4B4",0,2,495,0,22,16766,0.387802,3,0.545311,0.607407,4621.252403
孙宝毅(1946),孙宝毅,,author,author,"#B4B4B4",0,1,80,0,18,4950,0.012078,3,0.427156,0.456039,0
张沛(1946),张沛,,author,author,"#B4B4B4",0,1,322,0,18,14418,0.283156,3,0.490754,0.545572,0
祖立(1946),祖立,,author,author,"#B4B4B4",0,1,322,0,18,14418,0.283156,3,0.490754,0.545572,0
何肫林(1946),何肫林,,author,author,"#B4B4B4",0,1,67,0,17,2771,0.00524,3,0.378289,0.403543,0
国超(1946),国超,,author,author,"#B4B4B4",0,1,80,0,17,4692,0.012078,3,0.427156,0.456039,0
张文伯(1946),张文伯,,author,author,"#B4B4B4",0,1,283,0,17,10200,0.111974,3,0.43949,0.499678,0
念青(1946),念青,,author,author,"#B4B4B4",0,2,553,0,19,10020,0.674271,2,0.577084,0.633575,1875.235811
梁纯夫(1946),梁纯夫,,author,author,"#B4B4B4",0,3,615,0,23,14228,0.683043,2,0.587234,0.648551,7610.386942
蒲岗(1946),蒲岗,,author,author,"#B4B4B4",0,1,184,0,17,8636,0.1295,3,0.504018,0.532287,0
