Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
仲亨(1949),张绍贤(1949),Undirected,20453,author-author,,330,,,author<--->author
仲亨(1949),丁蕾(1949),Undirected,20454,author-author,,297,,,author<--->author
仲亨(1949),柏苍(1949),Undirected,20455,author-author,,297,,,author<--->author
仲亨(1949),波光(1949),Undirected,20456,author-author,,297,,,author<--->author
仲亨(1949),洪荒(1949),Undirected,20457,author-author,,264,,,author<--->author
仲亨(1949),陈仁炳(1949),Undirected,20458,author-author,,264,,,author<--->author
仲亨(1949),谭波莉(1949),Undirected,20459,author-author,,198,,,author<--->author
仲亨(1949),欧阳春(1949),Undirected,20460,author-author,,132,,,author<--->author
仲亨(1949),蔡尚思(1949),Undirected,20461,author-author,,66,,,author<--->author
仲亨(1949),任懿斐(1949),Undirected,20462,author-author,,99,,,author<--->author
仲亨(1949),孟宪章(1949),Undirected,20463,author-author,,99,,,author<--->author
仲亨(1949),未央(1949),Undirected,20464,author-author,,99,,,author<--->author
仲亨(1949),漆琪生(1949),Undirected,20465,author-author,,66,,,author<--->author
仲亨(1949),萧贤(1949),Undirected,20466,author-author,,99,,,author<--->author
仲亨(1949),全真(1949),Undirected,20467,author-author,,66,,,author<--->author
仲亨(1949),冰菱(1949),Undirected,20468,author-author,,66,,,author<--->author
仲亨(1949),同父(1949),Undirected,20469,author-author,,66,,,author<--->author
仲亨(1949),孙大雨(1949),Undirected,20470,author-author,,33,,,author<--->author
仲亨(1949),横眉(1949),Undirected,20471,author-author,,66,,,author<--->author
仲亨(1949),田夫之(1949),Undirected,20472,author-author,,66,,,author<--->author
仲亨(1949),艾苦鋆(1949),Undirected,20473,author-author,,66,,,author<--->author
仲亨(1949),丁兄(1949),Undirected,20474,author-author,,33,,,author<--->author
仲亨(1949),万异(1949),Undirected,20475,author-author,,33,,,author<--->author
仲亨(1949),万殊(1949),Undirected,20476,author-author,,33,,,author<--->author
仲亨(1949),之谷(1949),Undirected,20477,author-author,,33,,,author<--->author
仲亨(1949),习门(1949),Undirected,20478,author-author,,33,,,author<--->author
仲亨(1949),人立(1949),Undirected,20479,author-author,,33,,,author<--->author
仲亨(1949),何友悌(1949),Undirected,20480,author-author,,33,,,author<--->author
仲亨(1949),何旭(1949),Undirected,20481,author-author,,33,,,author<--->author
仲亨(1949),何矩(1949),Undirected,20482,author-author,,33,,,author<--->author
仲亨(1949),光华(1949),Undirected,20483,author-author,,33,,,author<--->author
仲亨(1949),刘伯陶(1949),Undirected,20484,author-author,,33,,,author<--->author
仲亨(1949),华辰(1949),Undirected,20485,author-author,,33,,,author<--->author
仲亨(1949),南人(1949),Undirected,20486,author-author,,33,,,author<--->author
仲亨(1949),卢蕾谷(1949),Undirected,20487,author-author,,33,,,author<--->author
仲亨(1949),可扬(1949),Undirected,20488,author-author,,33,,,author<--->author
仲亨(1949),夏炎德(1949),Undirected,20489,author-author,,33,,,author<--->author
仲亨(1949),奚永伟(1949),Undirected,20490,author-author,,33,,,author<--->author
仲亨(1949),学尧(1949),Undirected,20491,author-author,,33,,,author<--->author
仲亨(1949),小泉(1949),Undirected,20492,author-author,,33,,,author<--->author
仲亨(1949),岁奇(1949),Undirected,20493,author-author,,33,,,author<--->author
仲亨(1949),府师(1949),Undirected,20494,author-author,,33,,,author<--->author
仲亨(1949),康遂(1949),Undirected,20495,author-author,,33,,,author<--->author
仲亨(1949),张江帆(1949),Undirected,20496,author-author,,33,,,author<--->author
仲亨(1949),德明(1949),Undirected,20497,author-author,,33,,,author<--->author
仲亨(1949),文骊(1949),Undirected,20498,author-author,,33,,,author<--->author
仲亨(1949),方淳(1949),Undirected,20499,author-author,,33,,,author<--->author
仲亨(1949),星覆(1949),Undirected,20500,author-author,,33,,,author<--->author
仲亨(1949),春畦(1949),Undirected,20501,author-author,,33,,,author<--->author
仲亨(1949),曹锡珍(1949),Undirected,20502,author-author,,33,,,author<--->author
仲亨(1949),朝月(1949),Undirected,20503,author-author,,33,,,author<--->author
仲亨(1949),木枫(1949),Undirected,20504,author-author,,33,,,author<--->author
仲亨(1949),未明(1949),Undirected,20505,author-author,,33,,,author<--->author
仲亨(1949),李宗瀛(1949),Undirected,20506,author-author,,33,,,author<--->author
仲亨(1949),村彬(1949),Undirected,20507,author-author,,33,,,author<--->author
仲亨(1949),杜渐(1949),Undirected,20508,author-author,,33,,,author<--->author
仲亨(1949),杨卫玉(1949),Undirected,20509,author-author,,33,,,author<--->author
仲亨(1949),杨琛(1949),Undirected,20510,author-author,,33,,,author<--->author
仲亨(1949),杨诚(1949),Undirected,20511,author-author,,33,,,author<--->author
仲亨(1949),林穆光(1949),Undirected,20512,author-author,,33,,,author<--->author
仲亨(1949),武石(1949),Undirected,20513,author-author,,33,,,author<--->author
仲亨(1949),求是(1949),Undirected,20514,author-author,,33,,,author<--->author
仲亨(1949),洛羊(1949),Undirected,20515,author-author,,33,,,author<--->author
仲亨(1949),流金(1949),Undirected,20516,author-author,,33,,,author<--->author
仲亨(1949),王铁崖(1949),Undirected,20517,author-author,,33,,,author<--->author
仲亨(1949),瑞仁(1949),Undirected,20518,author-author,,33,,,author<--->author
仲亨(1949),田寿(1949),Undirected,20519,author-author,,33,,,author<--->author
仲亨(1949),由中(1949),Undirected,20520,author-author,,33,,,author<--->author
仲亨(1949),瞿士良(1949),Undirected,20521,author-author,,33,,,author<--->author
仲亨(1949),矛林(1949),Undirected,20522,author-author,,33,,,author<--->author
仲亨(1949),石童(1949),Undirected,20523,author-author,,33,,,author<--->author
仲亨(1949),石闻(1949),Undirected,20524,author-author,,33,,,author<--->author
仲亨(1949),秀英(1949),Undirected,20525,author-author,,33,,,author<--->author
仲亨(1949),秋田(1949),Undirected,20526,author-author,,33,,,author<--->author
仲亨(1949),绍声(1949),Undirected,20527,author-author,,33,,,author<--->author
仲亨(1949),绍猷(1949),Undirected,20528,author-author,,33,,,author<--->author
仲亨(1949),罗涵先(1949),Undirected,20529,author-author,,33,,,author<--->author
仲亨(1949),蒋生(1949),Undirected,20530,author-author,,33,,,author<--->author
仲亨(1949),蒙若(1949),Undirected,20531,author-author,,33,,,author<--->author
仲亨(1949),蕾谷(1949),Undirected,20532,author-author,,33,,,author<--->author
仲亨(1949),费孝通(1949),Undirected,20533,author-author,,33,,,author<--->author
仲亨(1949),辛斤(1949),Undirected,20534,author-author,,33,,,author<--->author
仲亨(1949),邵二(1949),Undirected,20535,author-author,,33,,,author<--->author
仲亨(1949),郑铁村(1949),Undirected,20536,author-author,,33,,,author<--->author
仲亨(1949),郑铁邨(1949),Undirected,20537,author-author,,33,,,author<--->author
仲亨(1949),钱塘令(1949),Undirected,20538,author-author,,33,,,author<--->author
仲亨(1949),阮富乙(1949),Undirected,20539,author-author,,33,,,author<--->author
仲亨(1949),陈正兴(1949),Undirected,20540,author-author,,33,,,author<--->author
仲亨(1949),陈福悲(1949),Undirected,20541,author-author,,33,,,author<--->author
仲亨(1949),陈行健(1949),Undirected,20542,author-author,,33,,,author<--->author
仲亨(1949),陈途(1949),Undirected,20543,author-author,,33,,,author<--->author
仲亨(1949),非汎(1949),Undirected,20544,author-author,,33,,,author<--->author
仲亨(1949),马梁(1949),Undirected,20545,author-author,,33,,,author<--->author
仲亨(1949),马霍京(1949),Undirected,20546,author-author,,33,,,author<--->author
仲亨(1949),驻青(1949),Undirected,20547,author-author,,33,,,author<--->author
仲亨(1949),默文(1949),Undirected,20548,author-author,,33,,,author<--->author
陈正清(1949),米谷(1949),Undirected,20549,author-author,,270,,,author<--->author
陈正清(1949),林石父(1949),Undirected,20550,author-author,,180,,,author<--->author
陈正清(1949),铁生(1949),Undirected,20551,author-author,,126,,,author<--->author
陈正清(1949),彰风(1949),Undirected,20552,author-author,,108,,,author<--->author
陈正清(1949),方方(1949),Undirected,20553,author-author,,90,,,author<--->author
陈正清(1949),思慕(1949),Undirected,20554,author-author,,54,,,author<--->author
陈正清(1949),曹来(1949),Undirected,20555,author-author,,72,,,author<--->author
陈正清(1949),朝新(1949),Undirected,20556,author-author,,72,,,author<--->author
陈正清(1949),乌门(1949),Undirected,20557,author-author,,54,,,author<--->author
陈正清(1949),乔木(1949),Undirected,20558,author-author,,54,,,author<--->author
陈正清(1949),南军(1949),Undirected,20559,author-author,,54,,,author<--->author
陈正清(1949),方亢(1949),Undirected,20560,author-author,,54,,,author<--->author
陈正清(1949),杜埃(1949),Undirected,20561,author-author,,54,,,author<--->author
陈正清(1949),毛泽东(1949),Undirected,20562,author-author,,54,,,author<--->author
陈正清(1949),秋虹(1949),Undirected,20563,author-author,,54,,,author<--->author
陈正清(1949),舒翰(1949),Undirected,20564,author-author,,54,,,author<--->author
陈正清(1949),蓝川(1949),Undirected,20565,author-author,,54,,,author<--->author
陈正清(1949),许涤新(1949),Undirected,20566,author-author,,54,,,author<--->author
陈正清(1949),G·柯志洛夫(1949),Undirected,20567,author-author,,36,,,author<--->author
陈正清(1949),仲冰(1949),Undirected,20568,author-author,,36,,,author<--->author
陈正清(1949),刘尊棋(1949),Undirected,20569,author-author,,36,,,author<--->author
陈正清(1949),季方(1949),Undirected,20570,author-author,,36,,,author<--->author
陈正清(1949),小云(1949),Undirected,20571,author-author,,36,,,author<--->author
陈正清(1949),怀湘(1949),Undirected,20572,author-author,,36,,,author<--->author
陈正清(1949),李卫明(1949),Undirected,20573,author-author,,36,,,author<--->author
陈正清(1949),林枫(1949),Undirected,20574,author-author,,36,,,author<--->author
陈正清(1949),桐庐(1949),Undirected,20575,author-author,,36,,,author<--->author
陈正清(1949),苏·尤琴(1949),Undirected,20576,author-author,,36,,,author<--->author
陈正清(1949),逖甫(1949),Undirected,20577,author-author,,36,,,author<--->author
陈正清(1949),颜孙(1949),Undirected,20578,author-author,,36,,,author<--->author
陈正清(1949),高梁(1949),Undirected,20579,author-author,,36,,,author<--->author
陈正清(1949),（美）艾伦(1949),Undirected,20580,author-author,,36,,,author<--->author
陈正清(1949),Arthur_Cleeg(1949),Undirected,20581,author-author,,18,,,author<--->author
陈正清(1949),一之(1949),Undirected,20582,author-author,,18,,,author<--->author
陈正清(1949),亚记(1949),Undirected,20583,author-author,,18,,,author<--->author
陈正清(1949),以空(1949),Undirected,20584,author-author,,18,,,author<--->author
陈正清(1949),仲川(1949),Undirected,20585,author-author,,18,,,author<--->author
陈正清(1949),余慧(1949),Undirected,20586,author-author,,18,,,author<--->author
陈正清(1949),冯文彬(1949),Undirected,20587,author-author,,18,,,author<--->author
