Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
柏苍(1949),张绍贤(1949),Undirected,232260,author-author,,90,,,,author<--->author
柏苍(1949),波光(1949),Undirected,232261,author-author,,83,,,,author<--->author
柏苍(1949),丁蕾(1949),Undirected,232262,author-author,,84,,,,author<--->author
柏苍(1949),陆诒(1949),Undirected,232263,author-author,,1,,,,author<--->author
柏苍(1949),孙大雨(1949),Undirected,232264,author-author,,1,,,,author<--->author
柏苍(1949),孟宪章(1949),Undirected,232265,author-author,,18,,,,author<--->author
柏苍(1949),李显仁(1949),Undirected,232266,author-author,,1,,,,author<--->author
柏苍(1949),杨卫玉(1949),Undirected,232267,author-author,,9,,,,author<--->author
柏苍(1949),杨群(1949),Undirected,232268,author-author,,1,,,,author<--->author
柏苍(1949),陈仁炳(1949),Undirected,232269,author-author,,9,,,,author<--->author
柏苍(1949),丘克辉(1949),Undirected,232270,author-author,,1,,,,author<--->author
柏苍(1949),吴大琨(1949),Undirected,232271,author-author,,13,,,,author<--->author
柏苍(1949),戎文佐(1949),Undirected,232272,author-author,,12,,,,author<--->author
柏苍(1949),李树动(1949),Undirected,232273,author-author,,12,,,,author<--->author
柏苍(1949),梁纯夫(1949),Undirected,232274,author-author,,9,,,,author<--->author
柏苍(1949),梁若尘(1949),Undirected,232275,author-author,,1,,,,author<--->author
柏苍(1949),樊弘(1949),Undirected,232276,author-author,,12,,,,author<--->author
柏苍(1949),王厚生(1949),Undirected,232277,author-author,,1,,,,author<--->author
柏苍(1949),秋明(1949),Undirected,232278,author-author,,1,,,,author<--->author
柏苍(1949),童大勇(1949),Undirected,232279,author-author,,12,,,,author<--->author
柏苍(1949),胡守愚(1949),Undirected,232280,author-author,,12,,,,author<--->author
柏苍(1949),郑铁村(1949),Undirected,232281,author-author,,2,,,,author<--->author
柏苍(1949),陈惠生(1949),Undirected,232282,author-author,,12,,,,author<--->author
柏苍(1949),陈行健(1949),Undirected,232283,author-author,,21,,,,author<--->author
张绍贤(1949),波光(1949),Undirected,232284,author-author,,106,,,,author<--->author
张绍贤(1949),丁蕾(1949),Undirected,232285,author-author,,90,,,,author<--->author
张绍贤(1949),方成(1949),Undirected,232286,author-author,,1,,,,author<--->author
张绍贤(1949),仲亨(1949),Undirected,232287,author-author,,5,,,,author<--->author
张绍贤(1949),陆诒(1949),Undirected,232288,author-author,,8,,,,author<--->author
张绍贤(1949),全真(1949),Undirected,232289,author-author,,4,,,,author<--->author
张绍贤(1949),夏炎德(1949),Undirected,232290,author-author,,8,,,,author<--->author
张绍贤(1949),孙大雨(1949),Undirected,232291,author-author,,4,,,,author<--->author
张绍贤(1949),孟宪章(1949),Undirected,232292,author-author,,20,,,,author<--->author
张绍贤(1949),张孟闻(1949),Undirected,232293,author-author,,4,,,,author<--->author
张绍贤(1949),杨卫玉(1949),Undirected,232294,author-author,,18,,,,author<--->author
张绍贤(1949),欧阳春(1949),Undirected,232295,author-author,,1,,,,author<--->author
张绍贤(1949),漆琪生(1949),Undirected,232296,author-author,,13,,,,author<--->author
张绍贤(1949),潘震亚(1949),Undirected,232297,author-author,,4,,,,author<--->author
张绍贤(1949),王造时(1949),Undirected,232298,author-author,,8,,,,author<--->author
张绍贤(1949),笪移今(1949),Undirected,232299,author-author,,8,,,,author<--->author
张绍贤(1949),蔡尚思(1949),Undirected,232300,author-author,,4,,,,author<--->author
张绍贤(1949),陈仁炳(1949),Undirected,232301,author-author,,14,,,,author<--->author
张绍贤(1949),陈旭麓(1949),Undirected,232302,author-author,,8,,,,author<--->author
张绍贤(1949),丁兄(1949),Undirected,232303,author-author,,4,,,,author<--->author
张绍贤(1949),何友悌(1949),Undirected,232304,author-author,,5,,,,author<--->author
张绍贤(1949),吕飞(1949),Undirected,232305,author-author,,1,,,,author<--->author
张绍贤(1949),夏康农(1949),Undirected,232306,author-author,,4,,,,author<--->author
张绍贤(1949),学尧(1949),Undirected,232307,author-author,,1,,,,author<--->author
张绍贤(1949),寿秋情(1949),Undirected,232308,author-author,,4,,,,author<--->author
张绍贤(1949),张明养(1949),Undirected,232309,author-author,,5,,,,author<--->author
张绍贤(1949),彝瀛(1949),Undirected,232310,author-author,,1,,,,author<--->author
张绍贤(1949),李一民(1949),Undirected,232311,author-author,,4,,,,author<--->author
张绍贤(1949),李乡樸(1949),Undirected,232312,author-author,,4,,,,author<--->author
张绍贤(1949),梁纯夫(1949),Undirected,232313,author-author,,14,,,,author<--->author
张绍贤(1949),汤德明(1949),Undirected,232314,author-author,,4,,,,author<--->author
张绍贤(1949),洛羊(1949),Undirected,232315,author-author,,4,,,,author<--->author
张绍贤(1949),焦敏之(1949),Undirected,232316,author-author,,4,,,,author<--->author
张绍贤(1949),田夫之(1949),Undirected,232317,author-author,,1,,,,author<--->author
张绍贤(1949),翁独健(1949),Undirected,232318,author-author,,4,,,,author<--->author
张绍贤(1949),辛圭(1949),Undirected,232319,author-author,,1,,,,author<--->author
张绍贤(1949),邹风(1949),Undirected,232320,author-author,,4,,,,author<--->author
