Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
柏苍(1949),柏苍,,author,0,19,24,418,0.234912,5,0.465995,0.521802,444.725208
张绍贤(1949),张绍贤,,author,0,17,46,529,0.775054,5,0.51676,0.596577,691.2041
波光(1949),波光,,author,0,29,42,516,0.754419,5,0.504087,0.581261,330.939072
丁蕾(1949),丁蕾,,author,0,29,61,406,0.587234,4,0.553892,0.643243,1818.735712
方成(1949),方成,,author,0,27,44,188,0.390718,4,0.513889,0.58964,840.225317
谭波莉(1949),谭波莉,,author,0,1,0,0,0,0,0,0,0
齐芬(1949),齐芬,,author,0,9,0,0,0,0,0,0,0
仲亨(1949),仲亨,,author,0,65,57,93,0.844922,5,0.539359,0.629009,1537.053028
储安平(1949),储安平,,author,0,7,1,1,0.00029,1,1,1,0
张肖梅(1949),张肖梅,,author,0,10,6,81,0.060743,5,0.399568,0.433514,9.52581
杨博如(1949),杨博如,,author,0,10,6,81,0.060743,5,0.399568,0.433514,9.52581
柯永(1949),柯永,,author,0,9,35,92,0.269042,5,0.483029,0.555586,418.552587
王希和(1949),王希和,,author,0,6,23,69,0.48336,4,0.445783,0.505856,0
程文熙(1949),程文熙,,author,0,4,8,27,0.053577,5,0.391121,0.428559,0
陆诒(1949),陆诒,,author,0,8,49,161,0.782336,5,0.533141,0.611441,607.179211
丁正伟(1949),丁正伟,,author,0,10,32,35,0.528837,4,0.471939,0.542342,182.576781
余园(1949),余园,,author,0,5,5,9,0.004459,6,0.303279,0.327568,19.770183
全真(1949),全真,,author,0,5,35,50,0.696568,5,0.479275,0.551532,109.007193
冰洋(1949),冰洋,,author,0,2,7,20,0.058189,5,0.383023,0.421532,0
冰菱(1949),冰菱,,author,0,8,0,0,0,0,0,0,0
卢于道(1949),卢于道,,author,0,3,18,23,0.305132,5,0.423341,0.478559,0
周新民(1949),周新民,,author,0,5,22,53,0.190705,5,0.45679,0.512342,58.928995
夏炎德(1949),夏炎德,,author,0,8,51,156,0.884631,4,0.521127,0.606306,273.167581
孙大雨(1949),孙大雨,,author,0,18,56,224,0.941102,4,0.540936,0.627027,214.094524
孟宪章(1949),孟宪章,,author,0,20,39,219,0.656168,5,0.490716,0.566396,89.311087
张孟闻(1949),张孟闻,,author,0,19,55,243,0.930583,4,0.534682,0.621171,430.252924
成纪(1949),成纪,,author,0,12,51,108,0.623299,4,0.504087,0.598198,846.234001
李显仁(1949),李显仁,,author,0,5,4,5,0.031085,5,0.387841,0.418378,100.181638
李相符(1949),李相符,,author,0,6,25,59,0.1978,5,0.463659,0.523153,102.103256
杨卫玉(1949),杨卫玉,,author,0,8,47,189,0.875225,4,0.519663,0.598198,64.21876
杨奎章(1949),杨奎章,,author,0,5,5,5,0.027809,5,0.374494,0.408468,105.275021
杨群(1949),杨群,,author,0,16,19,25,0.104866,5,0.431235,0.484414,505.01521
欧阳春(1949),欧阳春,,author,0,10,34,42,0.555179,4,0.504087,0.564865,337.380336
漆琪生(1949),漆琪生,,author,0,21,59,319,0.958742,4,0.548961,0.636937,382.143312
潘震亚(1949),潘震亚,,author,0,13,53,218,0.927793,4,0.528571,0.614414,112.373127
王造时(1949),王造时,,author,0,5,54,160,0.910548,4,0.536232,0.620721,342.488737
笪移今(1949),笪移今,,author,0,20,65,281,0.994462,4,0.565749,0.656757,1036.894926
罗子为(1949),罗子为,,author,0,12,41,81,0.28579,5,0.505464,0.57991,1035.125857
蔡尚思(1949),蔡尚思,,author,0,36,67,265,1,4,0.564024,0.659459,743.342113
陈仁炳(1949),陈仁炳,,author,0,27,63,315,0.960331,4,0.550595,0.645045,628.846251
陈旭麓(1949),陈旭麓,,author,0,6,45,148,0.851116,4,0.508242,0.587387,58.267084
高山(1949),高山,,author,0,4,11,23,0.071939,5,0.419501,0.46009,122.395888
龚祥瑞(1949),龚祥瑞,,author,0,11,2,2,0.00235,6,0.290881,0.306486,184
Doru(1949),Doru,,author,0,3,17,25,0.11062,5,0.400433,0.458018,0
Levy，H.(1949),Levy，H.,,author,0,3,9,12,0.083104,5,0.404814,0.447658,1.157958
丁兄(1949),丁兄,,author,0,2,33,47,0.693406,5,0.475578,0.545225,0
万异(1949),万异,,author,0,2,4,6,0.032633,6,0.366337,0.398108,16.408539
万殊(1949),万殊,,author,0,2,0,0,0,0,0,0,0
丘克辉(1949),丘克辉,,author,0,4,12,15,0.099943,4,0.417607,0.459459,174.460981
严学易(1949),严学易,,author,0,4,20,34,0.325446,5,0.431235,0.487568,24.520254
之谷(1949),之谷,,author,0,2,1,1,0.00149,7,0.276119,0.289961,0
