Source,Target,Type,Id,Label,timeset,Weight,year,place
仲亨(1949),《展望》,Directed,5034,,"<[1949.0, 1949.0]>",33,1949,南京
张绍贤(1949),《展望》,Directed,5035,,"<[1949.0, 1949.0]>",10,1949,南京
丁蕾(1949),《展望》,Directed,5036,,"<[1949.0, 1949.0]>",9,1949,南京
柏苍(1949),《展望》,Directed,5037,,"<[1949.0, 1949.0]>",9,1949,南京
波光(1949),《展望》,Directed,5038,,"<[1949.0, 1949.0]>",9,1949,南京
方成(1949),《观察》,Directed,5039,,"<[1949.0, 1949.0]>",8,1949,上海
洪荒(1949),《展望》,Directed,5040,,"<[1949.0, 1949.0]>",8,1949,南京
陈仁炳(1949),《展望》,Directed,5041,,"<[1949.0, 1949.0]>",8,1949,南京
谭波莉(1949),《展望》,Directed,5042,,"<[1949.0, 1949.0]>",6,1949,南京
杨群(1949),《光明报》,Directed,5043,,"<[1949.0, 1949.0]>",5,1949,香港
张君劢(1949),《再生》,Directed,5044,,"<[1949.0, 1949.0]>",4,1949,上海
思慕(1949),《光明报》,Directed,5045,,"<[1949.0, 1949.0]>",4,1949,香港
柯永(1949),《光明报》,Directed,5046,,"<[1949.0, 1949.0]>",4,1949,香港
欧阳春(1949),《展望》,Directed,5047,,"<[1949.0, 1949.0]>",4,1949,南京
秋枫(1949),《光明报》,Directed,5048,,"<[1949.0, 1949.0]>",4,1949,香港
蔡尚思(1949),《中建:综合版》,Directed,5049,,"<[1949.0, 1949.0]>",4,1949,上海
讷庵(1949),《再生》,Directed,5050,,"<[1949.0, 1949.0]>",4,1949,上海
陈仁炳(1949),《中建:综合版》,Directed,5051,,"<[1949.0, 1949.0]>",4,1949,上海
齐芬(1949),《再生》,Directed,5052,,"<[1949.0, 1949.0]>",4,1949,上海
任懿斐(1949),《展望》,Directed,5053,,"<[1949.0, 1949.0]>",3,1949,南京
孟宪章(1949),《展望》,Directed,5054,,"<[1949.0, 1949.0]>",3,1949,南京
张孟闻(1949),《中建:综合版》,Directed,5055,,"<[1949.0, 1949.0]>",3,1949,上海
张肖梅(1949),《再生》,Directed,5056,,"<[1949.0, 1949.0]>",3,1949,上海
未央(1949),《展望》,Directed,5057,,"<[1949.0, 1949.0]>",3,1949,南京
杨博如(1949),《再生》,Directed,5058,,"<[1949.0, 1949.0]>",3,1949,上海
梁纯夫(1949),《光明报》,Directed,5059,,"<[1949.0, 1949.0]>",3,1949,香港
漆琪生(1949),《中建:综合版》,Directed,5060,,"<[1949.0, 1949.0]>",3,1949,上海
王希和(1949),《再生》,Directed,5061,,"<[1949.0, 1949.0]>",3,1949,上海
程文熙(1949),《再生》,Directed,5062,,"<[1949.0, 1949.0]>",3,1949,上海
笪移今(1949),《中建:综合版》,Directed,5063,,"<[1949.0, 1949.0]>",3,1949,上海
罗子为(1949),《光明报》,Directed,5064,,"<[1949.0, 1949.0]>",3,1949,香港
萧贤(1949),《展望》,Directed,5065,,"<[1949.0, 1949.0]>",3,1949,南京
陆诒(1949),《光明报》,Directed,5066,,"<[1949.0, 1949.0]>",3,1949,香港
黄药眠(1949),《光明报》,Directed,5067,,"<[1949.0, 1949.0]>",3,1949,香港
