Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《再生》,《再生》,,journal,"#00EB00",13,0,13,31,0,31,0.02558,1,1,1,78
《中建》,《中建》,,journal,"#00EB00",8,0,8,8,0,8,0.013554,1,1,1,28
《光明报》,《光明报》,,journal,"#00EB00",62,0,62,91,0,91,0.351537,1,1,1,1891
《观察》,《观察》,,journal,"#00EB00",37,0,37,47,0,47,0.16683,3,0.394673,0.486708,4856.560606
《主流》,《主流》,,journal,"#00EB00",9,0,9,9,0,9,0.015728,1,1,1,36
《展望》,《展望》,,journal,"#00EB00",97,0,97,200,0,200,1,3,0.556314,0.732106,10603.166667
仲亨(1949),仲亨,,author,"#B4B4B4",0,1,1,0,33,33,0.099409,4,0.358242,0.402863,0
张绍贤(1949),张绍贤,,author,"#B4B4B4",0,1,1,0,10,10,0.099409,4,0.358242,0.402863,0
丁蕾(1949),丁蕾,,author,"#B4B4B4",0,1,1,0,9,9,0.099409,4,0.358242,0.402863,0
柏苍(1949),柏苍,,author,"#B4B4B4",0,1,1,0,9,9,0.099409,4,0.358242,0.402863,0
波光(1949),波光,,author,"#B4B4B4",0,1,1,0,9,9,0.099409,4,0.358242,0.402863,0
方成(1949),方成,,author,"#B4B4B4",0,1,1,0,8,8,0.023344,4,0.283478,0.310838,0
洪荒(1949),洪荒,,author,"#B4B4B4",0,2,2,0,9,9,0.122753,4,0.423377,0.4591,1061.909091
陈仁炳(1949),陈仁炳,,author,"#B4B4B4",0,2,2,0,12,12,0.128198,4,0.41688,0.454499,355.367424
谭波莉(1949),谭波莉,,author,"#B4B4B4",0,1,1,0,6,6,0.099409,4,0.358242,0.402863,0
杨群(1949),杨群,,author,"#B4B4B4",0,1,1,0,5,5,0.044026,2,0.504065,0.508065,0
张君劢(1949),张君劢,,author,"#B4B4B4",0,1,1,0,4,4,0.006221,2,0.52,0.538462,0
思慕(1949),思慕,,author,"#B4B4B4",0,1,1,0,4,4,0.044026,2,0.504065,0.508065,0
柯永(1949),柯永,,author,"#B4B4B4",0,1,1,0,4,4,0.044026,2,0.504065,0.508065,0
欧阳春(1949),欧阳春,,author,"#B4B4B4",0,1,1,0,4,4,0.099409,4,0.358242,0.402863,0
秋枫(1949),秋枫,,author,"#B4B4B4",0,1,1,0,4,4,0.044026,2,0.504065,0.508065,0
蔡尚思(1949),蔡尚思,,author,"#B4B4B4",0,2,2,0,6,6,0.128198,4,0.41688,0.454499,355.367424
《中建:综合版》,《中建:综合版》,,journal,"#00EB00",39,0,39,56,0,56,0.233946,3,0.398533,0.494888,4578.272727
讷庵(1949),讷庵,,author,"#B4B4B4",0,1,1,0,4,4,0.006221,2,0.52,0.538462,0
齐芬(1949),齐芬,,author,"#B4B4B4",0,1,1,0,4,4,0.006221,2,0.52,0.538462,0
任懿斐(1949),任懿斐,,author,"#B4B4B4",0,1,1,0,3,3,0.099409,4,0.358242,0.402863,0
孟宪章(1949),孟宪章,,author,"#B4B4B4",0,2,2,0,5,5,0.128198,4,0.41688,0.454499,355.367424
张孟闻(1949),张孟闻,,author,"#B4B4B4",0,1,1,0,3,3,0.02879,4,0.285464,0.313906,0
张肖梅(1949),张肖梅,,author,"#B4B4B4",0,1,1,0,3,3,0.006221,2,0.52,0.538462,0
未央(1949),未央,,author,"#B4B4B4",0,1,1,0,3,3,0.099409,4,0.358242,0.402863,0
杨博如(1949),杨博如,,author,"#B4B4B4",0,1,1,0,3,3,0.006221,2,0.52,0.538462,0
梁纯夫(1949),梁纯夫,,author,"#B4B4B4",0,1,1,0,3,3,0.044026,2,0.504065,0.508065,0
漆琪生(1949),漆琪生,,author,"#B4B4B4",0,2,2,0,5,5,0.128198,4,0.41688,0.454499,355.367424
王希和(1949),王希和,,author,"#B4B4B4",0,1,1,0,3,3,0.006221,2,0.52,0.538462,0
程文熙(1949),程文熙,,author,"#B4B4B4",0,1,1,0,3,3,0.006221,2,0.52,0.538462,0
笪移今(1949),笪移今,,author,"#B4B4B4",0,2,2,0,4,4,0.052134,4,0.327968,0.373211,1132.333333
罗子为(1949),罗子为,,author,"#B4B4B4",0,1,1,0,3,3,0.044026,2,0.504065,0.508065,0
萧贤(1949),萧贤,,author,"#B4B4B4",0,1,1,0,3,3,0.099409,4,0.358242,0.402863,0
陆诒(1949),陆诒,,author,"#B4B4B4",0,1,1,0,3,3,0.044026,2,0.504065,0.508065,0
黄药眠(1949),黄药眠,,author,"#B4B4B4",0,1,1,0,3,3,0.044026,2,0.504065,0.508065,0
储安平(1949),储安平,,author,"#B4B4B4",0,1,1,0,2,2,0.023344,4,0.283478,0.310838,0
全真(1949),全真,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
冰洋(1949),冰洋,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
冰菱(1949),冰菱,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
同父(1949),同父,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
孙大雨(1949),孙大雨,,author,"#B4B4B4",0,2,2,0,3,3,0.128198,4,0.41688,0.454499,355.367424
张弦(1949),张弦,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
朝晴(1949),朝晴,,author,"#B4B4B4",0,1,1,0,2,2,0.02879,4,0.285464,0.313906,0
李慧(1949),李慧,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
杨奎章(1949),杨奎章,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
樊弘(1949),樊弘,,author,"#B4B4B4",0,1,1,0,2,2,0.023344,4,0.283478,0.310838,0
横眉(1949),横眉,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
潘震亚(1949),潘震亚,,author,"#B4B4B4",0,1,1,0,2,2,0.02879,4,0.285464,0.313906,0
王厚生(1949),王厚生,,author,"#B4B4B4",0,1,1,0,2,2,0.006221,2,0.52,0.538462,0
田夫之(1949),田夫之,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
艾苦鋆(1949),艾苦鋆,,author,"#B4B4B4",0,1,1,0,2,2,0.099409,4,0.358242,0.402863,0
谷新(1949),谷新,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
辛圭(1949),辛圭,,author,"#B4B4B4",0,1,1,0,2,2,0.02879,4,0.285464,0.313906,0
陈若群(1949),陈若群,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
高天(1949),高天,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
黄朗(1949),黄朗,,author,"#B4B4B4",0,1,1,0,2,2,0.044026,2,0.504065,0.508065,0
龚祥瑞(1949),龚祥瑞,,author,"#B4B4B4",0,1,1,0,2,2,0.023344,4,0.283478,0.310838,0
Doru(1949),Doru,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
Levy，H.(1949),Levy，H.,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
丁兄(1949),丁兄,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
