Source,Target,Type,Id,Label,timeset,Weight,year,place
左拉(1945),《周报(上海1945)》,Directed,0,,"<[1945.0, 1945.0]>",30,1945,上海
黄炎培(1945),《国讯》,Directed,1,,"<[1945.0, 1945.0]>",25,1945,上海
努生(1945),《民主周刊(昆明)》,Directed,2,,"<[1945.0, 1945.0]>",21,1945,昆明
郑振铎(1945),《周报(上海1945)》,Directed,3,,"<[1945.0, 1945.0]>",21,1945,上海
昭抡(1945),《民主周刊(昆明)》,Directed,4,,"<[1945.0, 1945.0]>",19,1945,昆明
俞颂华(1945),《国讯》,Directed,5,,"<[1945.0, 1945.0]>",17,1945,上海
丰子恺(1945),《周报(上海1945)》,Directed,6,,"<[1945.0, 1945.0]>",16,1945,上海
陶行知(1945),《民主(重庆)》,Directed,7,,"<[1945.0, 1945.0]>",14,1945,重庆
梁公任(1945),《国讯》,Directed,8,,"<[1945.0, 1945.0]>",13,1945,上海
景宋(1945),《民主(上海)》,Directed,9,,"<[1945.0, 1945.0]>",12,1945,上海
蒲岗(1945),《民主(上海)》,Directed,10,,"<[1945.0, 1945.0]>",11,1945,上海
尊闻(1945),《民主(上海)》,Directed,11,,"<[1945.0, 1945.0]>",9,1945,上海
秦柳方(1945),《国讯》,Directed,12,,"<[1945.0, 1945.0]>",9,1945,上海
郑振铎(1945),《民主(上海)》,Directed,13,,"<[1945.0, 1945.0]>",9,1945,上海
周建人(1945),《民主(上海)》,Directed,14,,"<[1945.0, 1945.0]>",8,1945,上海
平心(1945),《周报(上海1945)》,Directed,15,,"<[1945.0, 1945.0]>",8,1945,上海
董秋斯(1945),《民主(上海)》,Directed,16,,"<[1945.0, 1945.0]>",8,1945,上海
引流(1945),《国讯》,Directed,17,,"<[1945.0, 1945.0]>",7,1945,上海
石啸冲(1945),《再生》,Directed,18,,"<[1945.0, 1945.0]>",7,1945,重庆
孟南(1945),《民主周刊(昆明)》,Directed,19,,"<[1945.0, 1945.0]>",6,1945,昆明
杨明(1945),《民主(上海)》,Directed,20,,"<[1945.0, 1945.0]>",6,1945,上海
罗隆基(1945),《民主周刊(昆明)》,Directed,21,,"<[1945.0, 1945.0]>",6,1945,昆明
费孝通(1945),《民主周刊(昆明)》,Directed,22,,"<[1945.0, 1945.0]>",6,1945,昆明
马叙伦(1945),《周报(上海1945)》,Directed,23,,"<[1945.0, 1945.0]>",6,1945,上海
马叙伦(1945),《民主(上海)》,Directed,24,,"<[1945.0, 1945.0]>",6,1945,上海
吴晗(1945),《民主周刊(昆明)》,Directed,25,,"<[1945.0, 1945.0]>",5,1945,昆明
周建人(1945),《周报(上海1945)》,Directed,26,,"<[1945.0, 1945.0]>",5,1945,上海
小鱼(1945),《国讯》,Directed,27,,"<[1945.0, 1945.0]>",5,1945,上海
思慕(1945),《民主周刊(昆明)》,Directed,28,,"<[1945.0, 1945.0]>",5,1945,昆明
景宋(1945),《周报(上海1945)》,Directed,29,,"<[1945.0, 1945.0]>",5,1945,上海
曹聚仁(1945),《周报(上海1945)》,Directed,30,,"<[1945.0, 1945.0]>",5,1945,上海
杨卫玉(1945),《国讯》,Directed,31,,"<[1945.0, 1945.0]>",5,1945,上海
柳宗元(1945),《周报(上海1945)》,Directed,32,,"<[1945.0, 1945.0]>",5,1945,上海
珂田(1945),《周报(上海1945)》,Directed,33,,"<[1945.0, 1945.0]>",5,1945,上海
翦伯赞(1945),《中华论坛》,Directed,34,,"<[1945.0, 1945.0]>",5,1945,重庆
胡曲园(1945),《周报(上海1945)》,Directed,35,,"<[1945.0, 1945.0]>",5,1945,上海
齐纬(1945),《国讯》,Directed,36,,"<[1945.0, 1945.0]>",5,1945,上海
严延(1945),《中华论坛》,Directed,37,,"<[1945.0, 1945.0]>",4,1945,重庆
光未然(1945),《民主周刊(昆明)》,Directed,38,,"<[1945.0, 1945.0]>",4,1945,昆明
克士(1945),《民主(上海)》,Directed,39,,"<[1945.0, 1945.0]>",4,1945,上海
