Source,Target,Type,Id,Label,Weight,year,place
左拉,《周报(上海1945)》,Directed,39656,,36,1946,上海
新命,《中央周刊》,Directed,39658,,23,1945,重庆
昭抡,《民主周刊(昆明)》,Directed,39662,,19,1945,昆明
丰子恺,《周报(上海1945)》,Directed,39664,,17,1946,上海
张文伯,《中央周刊》,Directed,39665,,38,1947,南京
梁公任,《国讯》,Directed,39667,,13,1945,上海
蒲岗,《民主(上海)》,Directed,39669,,28,1946,上海
守巧夫,《时代杂志》,Directed,39670,,9,1945,上海
钱穆,《中央周刊》,Directed,39676,,16,1947,南京
史大林,《时代杂志》,Directed,39677,,15,1949,上海
施维卓夫,《时代杂志》,Directed,39680,,17,1946,上海
右民,《中央周刊》,Directed,39683,,7,1945,重庆
引流,《国讯》,Directed,39685,,8,1946,上海
蒋炳贤,《中央周刊》,Directed,39692,,17,1947,南京
钱纳水,《中央周刊》,Directed,39695,,7,1946,南京
Pen,《时代杂志》,Directed,39698,,5,1945,上海
加里宁,《时代杂志》,Directed,39699,,5,1945,上海
叶青,《中央周刊》,Directed,39700,,7,1948,南京
曹聚仁,《周报(上海1945)》,Directed,39706,,5,1945,上海
柳宗元,《周报(上海1945)》,Directed,39708,,5,1945,上海
珂田,《周报(上海1945)》,Directed,39709,,7,1946,上海
蒋君章,《中央周刊》,Directed,39712,,8,1948,南京
许师愼,《中央周刊》,Directed,39713,,5,1945,重庆
郑学稼,《中央周刊》,Directed,39714,,28,1947,南京
郭寿生,《中央周刊》,Directed,39715,,5,1945,重庆
陶伯,《文萃》,Directed,39716,,5,1945,上海
黄义本,《中央周刊》,Directed,39717,,5,1945,重庆
齐纬,《国讯》,Directed,39718,,5,1945,上海
龚德柏,《中央周刊》,Directed,39719,,5,1945,重庆
严延,《中华论坛》,Directed,39720,,4,1945,重庆
伯侨,《中央周刊》,Directed,39721,,5,1946,南京
张礼千,《国讯》,Directed,39726,,4,1945,上海
戈尔巴朵夫,《时代杂志》,Directed,39727,,4,1945,上海
曾资生,《中央周刊》,Directed,39728,,10,1948,南京
李翼民,《中央周刊》,Directed,39729,,4,1945,重庆
澹庐,《国讯》,Directed,39730,,5,1946,上海
端木蕻良,《文萃》,Directed,39734,,9,1946,上海
米哈伊洛夫,《时代杂志》,Directed,39735,,20,1948,上海
翁逸之,《周报(上海1945)》,Directed,39739,,6,1946,上海
萧萧,《文萃》,Directed,39743,,4,1945,上海
许若明,《周报(上海1945)》,Directed,39744,,14,1946,上海
邵翰齐,《周报(上海1945)》,Directed,39745,,5,1946,上海
陈正飞,《中华论坛》,Directed,39746,,4,1945,重庆
高尔基,《时代杂志》,Directed,39748,,34,1947,上海
丘斌存,《中央周刊》,Directed,39750,,3,1945,重庆
于友,《文萃》,Directed,39753,,7,1946,上海
勃拉尼克,《时代杂志》,Directed,39754,,3,1945,上海
叶靑,《中央周刊》,Directed,39755,,3,1945,重庆
唐言,《中华论坛》,Directed,39757,,4,1946,重庆
守仁,《中央周刊》,Directed,39759,,3,1945,重庆
巴斯金,《时代杂志》,Directed,39760,,4,1947,上海
库尔干诺夫,《时代杂志》,Directed,39762,,3,1945,上海
张大任,《周报(上海1945)》,Directed,39763,,3,1945,上海
戚礼朴,《时代杂志》,Directed,39765,,3,1945,上海
晓歌,《周报(上海1945)》,Directed,39766,,3,1945,上海
李兆安,《民主(上海)》,Directed,39768,,3,1945,上海
杨槐,《中央周刊》,Directed,39769,,3,1945,重庆
查斯拉夫斯基,《时代杂志》,Directed,39770,,16,1949,上海
柯马洛夫,《时代杂志》,Directed,39771,,3,1945,上海
源天,《文萃》,Directed,39779,,3,1945,上海
潮声,《国讯》,Directed,39780,,51,1948,上海
王少燕,《民主(重庆)》,Directed,39782,,4,1946,重庆
秋斯,《民主(上海)》,Directed,39784,,3,1945,上海
粟显运,《中央周刊》,Directed,39785,,4,1946,南京
罗加正,《再生》,Directed,39787,,3,1945,重庆
罗曼,《时代杂志》,Directed,39788,,3,1945,上海
肥遯,《民主(重庆)》,Directed,39790,,3,1945,重庆
胡毅,《民主周刊(昆明)》,Directed,39791,,3,1945,昆明
范华农,《民主(重庆)》,Directed,39793,,4,1946,重庆
莫斯,《时代杂志》,Directed,39795,,6,1946,上海
葛洛斯曼,《时代杂志》,Directed,39796,,3,1945,上海
西蒙诺夫,《时代杂志》,Directed,39797,,3,1945,上海
问梁,《国讯》,Directed,39803,,3,1945,上海
顾均正,《周报(上海1945)》,Directed,39807,,4,1946,上海
高克奇,《民主(重庆)》,Directed,39809,,10,1946,重庆
黄巨兴,《民主周刊(昆明)》,Directed,39810,,3,1945,昆明
黄洛,《中央周刊》,Directed,39811,,3,1945,重庆
黄茅,《文萃》,Directed,39812,,3,1945,上海
黄裳,《周报(上海1945)》,Directed,39813,,24,1946,上海
一民,《周报(上海1945)》,Directed,39814,,2,1945,上海
上官青,《中央周刊》,Directed,39815,,2,1945,重庆
严景曜,《民主(上海)》,Directed,39816,,2,1945,上海
于彦胜,《中央周刊》,Directed,39817,,2,1945,重庆
亚槐,《民主(上海)》,Directed,39818,,2,1945,上海
伊巴鲁里,《时代杂志》,Directed,39819,,2,1945,上海
元璧,《中央周刊》,Directed,39820,,2,1945,重庆
光年,《民主周刊(昆明)》,Directed,39821,,2,1945,昆明
克年席夫,《中央周刊》,Directed,39822,,2,1945,重庆
其良,《民主周刊(昆明)》,Directed,39823,,2,1945,昆明
冬予里,《民主周刊(昆明)》,Directed,39825,,3,1946,昆明
刘逸,《再生》,Directed,39828,,2,1945,重庆
千里,《国讯》,Directed,39832,,2,1945,上海
华心,《民主周刊(昆明)》,Directed,39833,,2,1945,昆明
华阳,《民主周刊(昆明)》,Directed,39834,,2,1945,昆明
卢蕻,《民主周刊(昆明)》,Directed,39835,,2,1945,昆明
史米尔诺夫,《时代杂志》,Directed,39836,,3,1949,上海
史迁宾,《时代杂志》,Directed,39837,,2,1945,上海
吴约翰,《中央周刊》,Directed,39841,,2,1945,重庆
吴铁城,《中央周刊》,Directed,39842,,3,1946,南京
周予同,《周报(上海1945)》,Directed,39843,,3,1946,上海
周敦礼,《中央周刊》,Directed,39845,,2,1945,重庆
嘉喜善,《时代杂志》,Directed,39847,,2,1945,上海
外卢,《中华论坛》,Directed,39849,,2,1945,重庆
夷初,《周报(上海1945)》,Directed,39850,,2,1945,上海
奥勃拉齐卓夫,《时代杂志》,Directed,39851,,2,1945,上海
奴齐,《民主(上海)》,Directed,39852,,2,1945,上海
娄立齐,《民主(上海)》,Directed,39853,,3,1946,上海
子叶,《时代杂志》,Directed,39854,,2,1945,上海
子敬,《再生》,Directed,39855,,10,1947,上海
孟心坚,《民主周刊(昆明)》,Directed,39859,,2,1945,昆明
宁墨公,《中央周刊》,Directed,39860,,2,1945,重庆
宋孟桃,《中央周刊》,Directed,39861,,2,1945,重庆
尚丁,《国讯》,Directed,39863,,2,1945,上海
居正,《中央周刊》,Directed,39864,,2,1945,重庆
张勉,《中央周刊》,Directed,39868,,2,1945,重庆
徐植,《民主周刊(昆明)》,Directed,39874,,2,1945,昆明
拾风,《周报(上海1945)》,Directed,39875,,4,1946,上海
施坦因,《时代杂志》,Directed,39876,,2,1945,上海
曹萝阳,《民主周刊(昆明)》,Directed,39878,,2,1945,昆明
李凌飞,《国讯》,Directed,39881,,3,1946,上海
李及,《民主(重庆)》,Directed,39882,,2,1945,重庆
李鼎芳,《中央周刊》,Directed,39885,,4,1946,南京
杨保民,《中央周刊》,Directed,39886,,2,1945,重庆
杨先义,《中央周刊》,Directed,39887,,2,1945,重庆
林植,《中央周刊》,Directed,39889,,30,1947,南京
柳诒,《再生》,Directed,39891,,2,1945,重庆
毕尔伏玛依斯基,《时代杂志》,Directed,39893,,2,1945,上海
沈涛,《周报(上海1945)》,Directed,39895,,2,1945,上海
沙柯,《文萃》,Directed,39896,,2,1945,上海
沙清泉,《文萃》,Directed,39897,,2,1945,上海
波克希雪夫斯基,《时代杂志》,Directed,39898,,2,1945,上海
波列伏伊,《时代杂志》,Directed,39899,,3,1946,上海
洛扬,《民主周刊(昆明)》,Directed,39900,,3,1946,昆明
熊佛西,《文萃》,Directed,39901,,2,1945,上海
燕士,《民主(重庆)》,Directed,39902,,2,1945,重庆
王以中,《民主(上海)》,Directed,39903,,3,1946,上海
王沿津,《国讯》,Directed,39905,,2,1945,上海
王良嘉,《中央周刊》,Directed,39906,,5,1947,南京
王铁华,《周报(上海1945)》,Directed,39907,,2,1945,上海
端木泉,《民主(上海)》,Directed,39912,,2,1945,上海
米尔尼柯夫,《时代杂志》,Directed,39913,,2,1945,上海
维希聂夫斯基,《时代杂志》,Directed,39914,,2,1945,上海
胡秋原,《中央周刊》,Directed,39916,,6,1947,南京
苏尔,《时代杂志》,Directed,39919,,2,1945,上海
苏尔齐伯格,《再生》,Directed,39920,,2,1945,重庆
范蕙,《周报(上海1945)》,Directed,39921,,7,1946,上海
萧明,《民主(重庆)》,Directed,39922,,5,1946,重庆
葛罗宾,《时代杂志》,Directed,39923,,15,1946,上海
葭水,《周报(上海1945)》,Directed,39924,,3,1946,上海
裘维瑛,《中央周刊》,Directed,39927,,2,1945,重庆
许傑,《民主(上海)》,Directed,39928,,4,1946,上海
费稳,《再生》,Directed,39930,,2,1945,重庆
贺依,《民主(上海)》,Directed,39931,,3,1946,上海
赵得之,《中央周刊》,Directed,39933,,2,1945,重庆
赵铭,《中央周刊》,Directed,39934,,7,1947,南京
达伊金,《时代杂志》,Directed,39935,,2,1945,上海
铁霍诺夫,《时代杂志》,Directed,39945,,3,1949,上海
镜民,《国讯》,Directed,39946,,2,1945,上海
阿特拉斯,《时代杂志》,Directed,39947,,2,1945,上海
陆复初,《中央周刊》,Directed,39948,,2,1945,重庆
陈康成,《民主周刊(昆明)》,Directed,39950,,2,1945,昆明
陈志中,《民主(重庆)》,Directed,39951,,2,1945,重庆
陈曦,《国讯》,Directed,39952,,4,1947,上海
陈锺浩,《中央周刊》,Directed,39953,,12,1948,南京
陈鼎龢,《再生》,Directed,39954,,2,1945,重庆
项黎,《民主(重庆)》,Directed,39955,,2,1945,重庆
马超俊,《中央周刊》,Directed,39957,,3,1947,南京
骆闻,《民主(重庆)》,Directed,39958,,3,1946,重庆
高尔金,《时代杂志》,Directed,39959,,2,1945,上海
高扬,《民主周刊(昆明)》,Directed,39960,,2,1945,昆明
魏矢,《再生》,Directed,39961,,2,1945,重庆
鲁小詹,《民主周刊(昆明)》,Directed,39962,,2,1945,昆明
鲍乐蒂,《周报(上海1945)》,Directed,39963,,2,1945,上海
黎舫,《周报(上海1945)》,Directed,39968,,2,1945,上海
B._Ifor_Evans,《中央周刊》,Directed,39969,,1,1945,重庆
Bercovici，K.,《民主周刊(昆明)》,Directed,39970,,1,1945,昆明
Clark，B.,《周报(上海1945)》,Directed,39971,,1,1945,上海
E.C.,《时代杂志》,Directed,39972,,1,1945,上海
F._Geyrasi,《中华论坛》,Directed,39973,,1,1945,重庆
Francis_Sill_wickwrne,《中央周刊》,Directed,39974,,1,1945,重庆
Hogg，P.,《民主周刊(昆明)》,Directed,39975,,1,1945,昆明
Kenneth_de_Coorcy,《中央周刊》,Directed,39976,,1,1945,重庆
