Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《周报(上海1945)》,《周报(上海1945)》,,journal,journal,"#00EB00",242,0,242,488,0,488,0.479501,5,0.330169,0.393971,465334.440676
《国讯》,《国讯》,,journal,journal,"#00EB00",30,0,30,46,0,46,0.026888,5,0.260192,0.285154,54604.659729
《中央周刊》,《中央周刊》,,journal(n),journal,"#0000FF",284,0,284,617,0,617,0.430039,5,0.28176,0.369398,544860.678198
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,journal,"#00EB00",92,0,92,143,0,143,0.112665,5,0.284915,0.323455,155517.69365
《时代杂志》,《时代杂志》,,journal(c),journal,"#FF0000",323,0,323,819,0,819,0.635104,5,0.325433,0.411396,597531.691455
《民主(重庆)》,《民主(重庆)》,,journal,journal,"#00EB00",60,0,60,97,0,97,0.060636,5,0.261103,0.293659,105983.918221
《民主(上海)》,《民主(上海)》,,journal,journal,"#00EB00",185,0,185,525,0,525,0.337544,5,0.337648,0.38382,354623.224296
《再生》,《再生》,,journal,journal,"#00EB00",81,0,81,293,0,293,0.073747,5,0.272135,0.309431,153799.29925
《文萃》,《文萃》,,journal(c),journal,"#FF0000",403,0,403,694,0,694,1,3,0.38371,0.463345,996844.015743
《中华论坛》,《中华论坛》,,journal,journal,"#00EB00",78,0,78,120,0,120,0.103844,5,0.274136,0.310454,126152.702327
刘光炎(1946),刘光炎,,author,author,"#B4B4B4",0,1,1,0,114,114,0.024222,6,0.219846,0.250072,0
什之(1946),什之,,author,author,"#B4B4B4",0,1,1,0,50,50,0.031678,6,0.245558,0.273151,0
郑振铎(1946),郑振铎,,author,author,"#B4B4B4",0,2,2,0,50,50,0.041675,4,0.276607,0.298155,1498.970466
马叙伦(1946),马叙伦,,author,author,"#B4B4B4",0,3,3,0,70,70,0.087009,4,0.304627,0.339922,5356.86816
景宋(1946),景宋,,author,author,"#B4B4B4",0,4,4,0,36,36,0.118687,4,0.332484,0.374501,21942.09688
丁聪(1946),丁聪,,author,author,"#B4B4B4",0,2,2,0,38,38,0.069378,4,0.293159,0.32367,2100.34021
高尔基(1946),高尔基,,author,author,"#B4B4B4",0,1,1,0,29,29,0.031678,6,0.245558,0.273151,0
求思(1946),求思,,author,author,"#B4B4B4",0,2,2,0,28,28,0.041675,4,0.276607,0.298155,1498.970466
苏生(1946),苏生,,author,author,"#B4B4B4",0,1,1,0,26,26,0.005735,6,0.213942,0.228749,0
白旭(1946),白旭,,author,author,"#B4B4B4",0,1,1,0,24,24,0.005735,6,0.213942,0.228749,0
张君劢(1946),张君劢,,author,author,"#B4B4B4",0,2,2,0,25,25,0.023365,6,0.262946,0.280083,10475.565808
周建人(1946),周建人,,author,author,"#B4B4B4",0,3,3,0,24,24,0.087009,4,0.304627,0.339922,5356.86816
黄裳(1946),黄裳,,author,author,"#B4B4B4",0,1,1,0,21,21,0.024045,6,0.248246,0.268663,0
