Source,Target,Type,Id,Label,timeset,Weight,year,place
M.H.(1947),《国讯》,Directed,14102,,"<[1947.0, 1947.0]>",301,1947,上海
何歌(1947),《时代杂志》,Directed,14103,,"<[1947.0, 1947.0]>",72,1947,上海
汪老吉(1947),《群众》,Directed,14104,,"<[1947.0, 1947.0]>",56,1947,香港
石啸冲(1947),《国讯》,Directed,14105,,"<[1947.0, 1947.0]>",55,1947,上海
厚安(1947),《中央周刊》,Directed,14106,,"<[1947.0, 1947.0]>",53,1947,南京
黄炎培(1947),《国讯》,Directed,14107,,"<[1947.0, 1947.0]>",41,1947,上海
朝新(1947),《群众》,Directed,14108,,"<[1947.0, 1947.0]>",35,1947,香港
还俗(1947),《再生》,Directed,14109,,"<[1947.0, 1947.0]>",35,1947,上海
潮声(1947),《国讯》,Directed,14110,,"<[1947.0, 1947.0]>",33,1947,上海
张君劢(1947),《再生》,Directed,14111,,"<[1947.0, 1947.0]>",31,1947,上海
舒翰(1947),《正报》,Directed,14112,,"<[1947.0, 1947.0]>",30,1947,香港
梁香(1947),《时代杂志》,Directed,14113,,"<[1947.0, 1947.0]>",28,1947,上海
祖立(1947),《时代杂志》,Directed,14114,,"<[1947.0, 1947.0]>",27,1947,上海
王民(1947),《国讯》,Directed,14115,,"<[1947.0, 1947.0]>",26,1947,上海
白旭(1947),《再生》,Directed,14116,,"<[1947.0, 1947.0]>",22,1947,上海
林植(1947),《中央周刊》,Directed,14117,,"<[1947.0, 1947.0]>",21,1947,南京
余园(1947),《再生》,Directed,14118,,"<[1947.0, 1947.0]>",20,1947,上海
王艮仲(1947),《中建》,Directed,14119,,"<[1947.0, 1947.0]>",20,1947,上海
叶菲(1947),《群众》,Directed,14120,,"<[1947.0, 1947.0]>",19,1947,香港
尚天(1947),《时代杂志》,Directed,14121,,"<[1947.0, 1947.0]>",19,1947,上海
江问渔(1947),《国讯》,Directed,14122,,"<[1947.0, 1947.0]>",19,1947,上海
特伟(1947),《群众》,Directed,14123,,"<[1947.0, 1947.0]>",19,1947,香港
费孝通(1947),《观察》,Directed,14124,,"<[1947.0, 1947.0]>",19,1947,上海
崔嵬(1947),《正报》,Directed,14125,,"<[1947.0, 1947.0]>",18,1947,香港
移模(1947),《时代杂志》,Directed,14126,,"<[1947.0, 1947.0]>",18,1947,上海
王厚生(1947),《再生》,Directed,14127,,"<[1947.0, 1947.0]>",17,1947,上海
金大均(1947),《中建》,Directed,14128,,"<[1947.0, 1947.0]>",17,1947,上海
卫玉(1947),《国讯》,Directed,14129,,"<[1947.0, 1947.0]>",16,1947,上海
