Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
潮声(1947),战局 (n),Directed,209892,,"<[1947.0, 1947.0]>",36,1947,上海,《国讯》
王亚南(1947),官僚政治 (n),Directed,209893,,"<[1947.0, 1947.0]>",26,1947,上海,《时与文》
王亚南(1947),中国 (n),Directed,209894,,"<[1947.0, 1947.0]>",24,1947,上海,《时与文》
M.H.(1947),学生 (n),Directed,209895,,"<[1947.0, 1947.0]>",22,1947,上海,《国讯》
黄炎培(1947),亮话 (n),Directed,209896,,"<[1947.0, 1947.0]>",20,1947,上海,《国讯》
M.H.(1947),中国 (n),Directed,209897,,"<[1947.0, 1947.0]>",19,1947,上海,《国讯》
M.H.(1947),华莱士 (n),Directed,209898,,"<[1947.0, 1947.0]>",17,1947,上海,《国讯》
M.H.(1947),民主 (n),Directed,209899,,"<[1947.0, 1947.0]>",17,1947,上海,《国讯》
M.H.(1947),抗议 (n),Directed,209900,,"<[1947.0, 1947.0]>",16,1947,上海,《国讯》
M.H.(1947),民盟 (n),Directed,209901,,"<[1947.0, 1947.0]>",15,1947,上海,《国讯》
M.H.(1947),学联 (n),Directed,209902,,"<[1947.0, 1947.0]>",14,1947,上海,《国讯》
M.H.(1947),要求 (n),Directed,209903,,"<[1947.0, 1947.0]>",14,1947,上海,《国讯》
M.H.(1947),反对 (n),Directed,209904,,"<[1947.0, 1947.0]>",13,1947,上海,《国讯》
M.H.(1947),和平 (n),Directed,209905,,"<[1947.0, 1947.0]>",13,1947,上海,《国讯》
金大均(1947),陌上 (n),Directed,209906,,"<[1947.0, 1947.0]>",13,1947,上海,《中建》
余园(1947),宪政 (n),Directed,209907,,"<[1947.0, 1947.0]>",12,1947,上海,《再生》
王亚南(1947),经济 (n),Directed,209908,,"<[1947.0, 1947.0]>",12,1947,上海,《时与文》
王亚南(1947),研究 (n),Directed,209909,,"<[1947.0, 1947.0]>",11,1947,上海,《时与文》
M.H.(1947),呼吁 (n),Directed,209910,,"<[1947.0, 1947.0]>",10,1947,上海,《国讯》
M.H.(1947),教授 (n),Directed,209911,,"<[1947.0, 1947.0]>",10,1947,上海,《国讯》
