Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,3,0,3,6,0,6,0.046037,8,0.260295,0.286312,11368.911815
解剖 (n),解剖,,notion,1,0,1,2,0,2,0.001512,11,0.190304,0.199914,0
流亡 (n),流亡,,notion,2,0,2,2,0,2,0.000791,1,1,1,1
生活 (n),生活,,notion,41,0,41,60,0,60,0.060455,9,0.252458,0.278519,324400.871356
韬奋 (n),韬奋,,notion,5,0,5,5,0,5,0.010334,9,0.226397,0.241747,7652.77711
民主 (n),民主,,notion,53,0,53,87,0,87,0.117868,9,0.286659,0.32362,561669.236424
南行 (n),南行,,notion,1,0,1,1,0,1,0.001451,11,0.189333,0.198992,0
经济 (n),经济,,notion,67,0,67,105,0,105,0.129021,9,0.286144,0.323046,547100.468617
自己 (n),自己,,notion,5,0,5,5,0,5,0.008149,9,0.218401,0.232994,51364.766879
世界 (n),世界,,notion,41,0,41,57,0,57,0.086436,9,0.277781,0.309422,366664.266474
以后 (n),以后,,notion,11,0,11,12,0,12,0.013408,10,0.230501,0.24685,36383.702067
印度 (n),印度,,notion,12,0,12,15,0,15,0.016724,9,0.229078,0.245581,20874.587425
重庆 (n),重庆,,notion,3,0,3,7,0,7,0.002284,10,0.193845,0.204375,1981.334756
中国 (n),中国,,notion,127,0,127,212,0,212,0.207233,8,0.305338,0.350993,1624551.153811
先生 (n),先生,,notion,48,0,48,57,0,57,0.070625,8,0.269141,0.299122,660981.763546
胜利 (n),胜利,,notion,8,0,8,10,0,10,0.042154,9,0.257327,0.282186,42603.603504
美国 (n),美国,,notion,87,0,87,144,0,144,0.154182,9,0.287878,0.327443,732430.457206
大会 (n),大会,,notion,2,0,2,3,0,3,0.037567,9,0.253522,0.277681,1257.948403
纪念 (n),纪念,,notion,21,0,21,27,0,27,0.071535,8,0.272061,0.301697,198741.998441
会议 (n),会议,,notion,16,0,16,22,0,22,0.026896,9,0.240681,0.259865,44118.426473
战后 (n),战后,,notion,10,0,10,12,0,12,0.015554,9,0.231189,0.246052,30981.479075
柏林 (n),柏林,,notion,3,0,3,3,0,3,0.038621,9,0.254307,0.278666,3260.218942
前后 (n),前后,,notion,7,0,7,7,0,7,0.010505,9,0.223667,0.238938,16950.707423
诗词 (n),诗词,,notion,6,0,6,9,0,9,0.008743,9,0.217786,0.232568,56712.583249
国际 (n),国际,,notion,18,0,18,19,0,19,0.065757,9,0.264955,0.293508,49330.056462
一二 (n),一二,,notion,1,0,1,1,0,1,0.036462,9,0.253237,0.277146,0
航讯 (n),航讯,,notion,9,0,9,11,0,11,0.045946,9,0.256523,0.282367,39549.288038
问题 (n),问题,,notion,88,0,88,113,0,113,0.165814,9,0.299497,0.341642,1263997.875192
英国 (n),英国,,notion,21,0,21,27,0,27,0.038597,8,0.247974,0.269775,90586.037391
延安 (n),延安,,notion,3,0,3,3,0,3,0.00143,11,0.173461,0.180714,11471.874488
日记 (n),日记,,notion,5,0,5,15,0,15,0.004241,10,0.201593,0.213248,14149.967221
云南 (n),云南,,notion,3,0,3,5,0,5,0.005878,10,0.216654,0.23015,1001.385889
政治 (n),政治,,notion,56,0,56,80,0,80,0.123554,9,0.286872,0.323163,496773.979806
人间 (n),人间,,notion,1,0,1,1,0,1,0.001878,10,0.198461,0.209011,0
工作 (n),工作,,notion,40,0,40,72,0,72,0.05809,10,0.244726,0.270384,274639.268826
内战 (n),内战,,notion,24,0,24,28,0,28,0.062927,8,0.266283,0.294499,207579.278086
和平 (n),和平,,notion,37,0,37,56,0,56,0.104108,8,0.286296,0.320618,483342.17439
物价 (n),物价,,notion,10,0,10,14,0,14,0.011741,10,0.219285,0.233539,8989.457168
人民 (n),人民,,notion,24,0,24,27,0,27,0.058203,8,0.265084,0.292026,205749.802346
改造 (n),改造,,notion,6,0,6,11,0,11,0.007866,10,0.221726,0.235501,4787.450925
殖民地 (n),殖民地,,notion,3,0,3,3,0,3,0.003539,9,0.206401,0.218211,2047.88338
对华政策 (n),对华政策,,notion,6,0,6,8,0,8,0.046746,9,0.259771,0.285069,15033.711209
努力 (n),努力,,notion,6,0,6,6,0,6,0.010303,10,0.228961,0.242522,4651.423519
参政会 (n),参政会,,notion,5,0,5,5,0,5,0.046801,9,0.26017,0.286069,15277.005494
青年 (n),青年,,notion,12,0,12,22,0,22,0.049368,9,0.261881,0.288505,135239.415601
文学 (n),文学,,notion,7,0,7,7,0,7,0.005255,10,0.204871,0.216841,17344.137307
历史 (n),历史,,notion,13,0,13,23,0,23,0.058269,8,0.267203,0.295107,95117.095239
外长 (n),外长,,notion,3,0,3,3,0,3,0.044999,9,0.260596,0.286241,11345.198961
杂志 (n),杂志,,notion,3,0,3,3,0,3,0.039978,9,0.255002,0.279384,3334.852866
读史 (n),读史,,notion,2,0,2,4,0,4,0.001126,11,0.161177,0.166739,1843.461167
成都 (n),成都,,notion,3,0,3,4,0,4,0.002197,11,0.193333,0.203742,16171.869538
失业 (n),失业,,notion,2,0,2,2,0,2,0.00731,9,0.221527,0.235919,4851.353031
社会 (n),社会,,notion,22,0,22,30,0,30,0.028638,10,0.242752,0.260918,62804.92416
萧条 (n),萧条,,notion,3,0,3,5,0,5,0.006083,9,0.220697,0.233435,712.476298
贫困 (n),贫困,,notion,3,0,3,3,0,3,0.002363,10,0.191231,0.201323,3435.428923
战局 (n),战局,,notion,5,0,5,44,0,44,0.007076,10,0.209336,0.223723,12024.97915
独立运动 (n),独立运动,,notion,2,0,2,4,0,4,0.003891,9,0.213933,0.226277,84.419362
越南 (n),越南,,notion,8,0,8,10,0,10,0.009811,9,0.225305,0.239259,9082.039487
提议 (n),提议,,notion,1,0,1,1,0,1,0.000728,10,0.182041,0.190337,0
欧洲 (n),欧洲,,notion,13,0,13,20,0,20,0.027517,9,0.242512,0.262012,31663.557652
