Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
梁公任(1945),时事 (n),Directed,198711,,"<[1945.0, 1945.0]>",7,1945,上海,《国讯》
梁公任(1945),解剖 (n),Directed,198712,,"<[1945.0, 1945.0]>",7,1945,上海,《国讯》
杨明(1945),流亡 (n),Directed,198713,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
杨明(1945),生活 (n),Directed,198714,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
杨明(1945),韬奋 (n),Directed,198715,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
严景曜(1945),民主 (n),Directed,198716,,"<[1945.0, 1945.0]>",5,1945,上海,《民主(上海)》
昭抡(1945),时事 (n),Directed,198717,,"<[1945.0, 1945.0]>",5,1945,昆明,《民主周刊(昆明)》
柳宗元(1945),南行 (n),Directed,198718,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
柳宗元(1945),徒步 (n),Directed,198719,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
柳宗元(1945),津浦路 (n),Directed,198720,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
秦柳方(1945),经济 (n),Directed,198721,,"<[1945.0, 1945.0]>",5,1945,上海,《国讯》
齐纬(1945),经济 (n),Directed,198722,,"<[1945.0, 1945.0]>",5,1945,上海,《国讯》
光军(1945),安定 (n),Directed,198723,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
光年(1945),自己 (n),Directed,198724,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
昭抡(1945),世界 (n),Directed,198725,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
昭抡(1945),以后 (n),Directed,198726,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
曹刚(1945),印度 (n),Directed,198727,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
秦柳方(1945),之页 (n),Directed,198728,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
罗西(1945),重庆 (n),Directed,198729,,"<[1945.0, 1945.0]>",5,1945,上海,《民主(上海)》
罗隆基(1945),中国 (n),Directed,198730,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
陶行知(1945),先生 (n),Directed,198731,,"<[1945.0, 1945.0]>",4,1945,重庆,《民主(重庆)》
齐纬(1945),之页 (n),Directed,198732,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
俞颂华(1945),胜利 (n),Directed,198733,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
冬予里(1945),美国 (n),Directed,198734,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
努生(1945),大会 (n),Directed,198735,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
努生(1945),纪念 (n),Directed,198736,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
孙宝毅(1945),会议 (n),Directed,198737,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
平心(1945),战后 (n),Directed,198738,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
愚公(1945),国难 (n),Directed,198739,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
愚公(1945),野记 (n),Directed,198740,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
昭抡(1945),会议 (n),Directed,198741,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
昭抡(1945),柏林 (n),Directed,198742,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
景宋(1945),前后 (n),Directed,198743,,"<[1945.0, 1945.0]>",3,1945,上海,《民主(上海)》
景宋(1945),遭难 (n),Directed,198744,,"<[1945.0, 1945.0]>",3,1945,上海,《民主(上海)》
曹聚仁(1945),冯友兰 (n),Directed,198745,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
曹聚仁(1945),理学 (n),Directed,198746,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
柳亚子(1945),诗词 (n),Directed,198747,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
石啸冲(1945),世界 (n),Directed,198748,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
石啸冲(1945),中国 (n),Directed,198749,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
石啸冲(1945),半月 (n),Directed,198750,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
石啸冲(1945),国际 (n),Directed,198751,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
石啸冲(1945),瞭望 (n),Directed,198752,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
祝世康(1945),经济 (n),Directed,198753,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
程澄之(1945),一二 (n),Directed,198754,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
罗西(1945),航讯 (n),Directed,198755,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
肥遯(1945),谈屑 (n),Directed,198756,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
胡毅(1945),民主 (n),Directed,198757,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
胡毅(1945),生活 (n),Directed,198758,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
董秋斯(1945),大事记 (n),Directed,198759,,"<[1945.0, 1945.0]>",3,1945,上海,《民主(上海)》
董秋斯(1945),太平洋战争 (n),Directed,198760,,"<[1945.0, 1945.0]>",3,1945,上海,《民主(上海)》
问梁(1945),之页 (n),Directed,198761,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
问梁(1945),经济 (n),Directed,198762,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
陈曦(1945),重庆 (n),Directed,198763,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
马寅初(1945),问题 (n),Directed,198764,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
黄巨兴(1945),英国 (n),Directed,198765,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
黄炎培(1945),先生 (n),Directed,198766,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
黄炎培(1945),延安 (n),Directed,198767,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
黄炎培(1945),日记 (n),Directed,198768,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
万影(1945),云南 (n),Directed,198769,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
严景曜(1945),讲话 (n),Directed,198770,,"<[1945.0, 1945.0]>",2,1945,上海,《民主(上海)》
严景耀(1945),民主 (n),Directed,198771,,"<[1945.0, 1945.0]>",2,1945,上海,《民主(上海)》
严问天(1945),政治 (n),Directed,198772,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
丰子恺(1945),人间 (n),Directed,198773,,"<[1945.0, 1945.0]>",2,1945,上海,《周报(上海1945)》
但维斯(1945),工作 (n),Directed,198774,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),中国 (n),Directed,198775,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),八一 (n),Directed,198776,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),内战 (n),Directed,198777,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),和平 (n),Directed,198778,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),物价 (n),Directed,198779,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
俞颂华(1945),第八 (n),Directed,198780,,"<[1945.0, 1945.0]>",2,1945,上海,《国讯》
光年(1945),人民 (n),Directed,198781,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
光年(1945),提高 (n),Directed,198782,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
光年(1945),改造 (n),Directed,198783,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
光未然(1945),民主 (n),Directed,198784,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
光未然(1945),诚实 (n),Directed,198785,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
农慕之(1945),殖民地 (n),Directed,198786,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
农慕之(1945),问题 (n),Directed,198787,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
冬予里(1945),对华政策 (n),Directed,198788,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
冯玉祥(1945),民主 (n),Directed,198789,,"<[1945.0, 1945.0]>",2,1945,重庆,《民主(重庆)》
努生(1945),人民 (n),Directed,198790,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
努生(1945),努力 (n),Directed,198791,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
努生(1945),参政会 (n),Directed,198792,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
努生(1945),国民大会 (n),Directed,198793,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
努生(1945),应否 (n),Directed,198794,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
努生(1945),问题 (n),Directed,198795,,"<[1945.0, 1945.0]>",2,1945,昆明,《民主周刊(昆明)》
