Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《周报(上海1945)》,《国讯》,Undirected,5299,journal-journal,,69,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,5300,journal-journal,,11,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,5301,journal-journal,,92,,,journal<--->journal
《周报(上海1945)》,《民主(上海)》,Undirected,5302,journal-journal,,376,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,5303,journal-journal,,5,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,5304,journal-journal,,4,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,5305,journal-journal,,14,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,5306,journal-journal,,37,,,journal<--->journal
《国讯》,《再生》,Undirected,5307,journal-journal,,70,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,5308,journal-journal,,5,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,5309,journal-journal,,51,,,journal<--->journal
《民主周刊(昆明)》,《民主(上海)》,Undirected,5310,journal-journal,,13,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,5311,journal-journal,,6,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,5312,journal-journal,,6,,,journal<--->journal
《民主(重庆)》,《民主(上海)》,Undirected,5313,journal-journal,,13,,,journal<--->journal
《民主(重庆)》,《再生》,Undirected,5314,journal-journal,,13,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,5315,journal-journal,,21,,,journal<--->journal
《再生》,《中华论坛》,Undirected,5316,journal-journal,,8,,,journal<--->journal
