Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《国讯》,《中央周刊》,Undirected,20453,journal-journal,,4,,,journal<--->journal
《国讯》,《时代杂志》,Undirected,20454,journal-journal,,72,,,journal<--->journal
《国讯》,《再生》,Undirected,20455,journal-journal,,16,,,journal<--->journal
《国讯》,《文萃》,Undirected,20456,journal-journal,,56,,,journal<--->journal
《国讯》,《中建》,Undirected,20457,journal-journal,,20,,,journal<--->journal
《国讯》,《正报》,Undirected,20458,journal-journal,,4,,,journal<--->journal
《国讯》,《光明报》,Undirected,20459,journal-journal,,9,,,journal<--->journal
《国讯》,《观察》,Undirected,20460,journal-journal,,18,,,journal<--->journal
《国讯》,《群众》,Undirected,20461,journal-journal,,37,,,journal<--->journal
《国讯》,《时与文》,Undirected,20462,journal-journal,,135,,,journal<--->journal
《国讯》,《现代文摘(上海)》,Undirected,20463,journal-journal,,63,,,journal<--->journal
《国讯》,《展望》,Undirected,20464,journal-journal,,2,,,journal<--->journal
《中央周刊》,《再生》,Undirected,20465,journal-journal,,2,,,journal<--->journal
《中央周刊》,《中建》,Undirected,20466,journal-journal,,4,,,journal<--->journal
《中央周刊》,《观察》,Undirected,20467,journal-journal,,7,,,journal<--->journal
《中央周刊》,《时与文》,Undirected,20468,journal-journal,,4,,,journal<--->journal
《中央周刊》,《现代文摘(上海)》,Undirected,20469,journal-journal,,13,,,journal<--->journal
《时代杂志》,《再生》,Undirected,20470,journal-journal,,9,,,journal<--->journal
《时代杂志》,《文萃》,Undirected,20471,journal-journal,,33,,,journal<--->journal
《时代杂志》,《光明报》,Undirected,20472,journal-journal,,5,,,journal<--->journal
《时代杂志》,《观察》,Undirected,20473,journal-journal,,2,,,journal<--->journal
《时代杂志》,《群众》,Undirected,20474,journal-journal,,8,,,journal<--->journal
《时代杂志》,《时与文》,Undirected,20475,journal-journal,,11,,,journal<--->journal
《时代杂志》,《现代文摘(上海)》,Undirected,20476,journal-journal,,14,,,journal<--->journal
《时代杂志》,《展望》,Undirected,20477,journal-journal,,9,,,journal<--->journal
《再生》,《文萃》,Undirected,20478,journal-journal,,1,,,journal<--->journal
《再生》,《正报》,Undirected,20479,journal-journal,,2,,,journal<--->journal
《再生》,《光明报》,Undirected,20480,journal-journal,,4,,,journal<--->journal
《再生》,《观察》,Undirected,20481,journal-journal,,2,,,journal<--->journal
《再生》,《群众》,Undirected,20482,journal-journal,,2,,,journal<--->journal
《再生》,《时与文》,Undirected,20483,journal-journal,,2,,,journal<--->journal
《再生》,《现代文摘(上海)》,Undirected,20484,journal-journal,,29,,,journal<--->journal
《文萃》,《中建》,Undirected,20485,journal-journal,,17,,,journal<--->journal
《文萃》,《光明报》,Undirected,20486,journal-journal,,5,,,journal<--->journal
《文萃》,《观察》,Undirected,20487,journal-journal,,5,,,journal<--->journal
《文萃》,《群众》,Undirected,20488,journal-journal,,23,,,journal<--->journal
《文萃》,《时与文》,Undirected,20489,journal-journal,,56,,,journal<--->journal
《文萃》,《现代文摘(上海)》,Undirected,20490,journal-journal,,37,,,journal<--->journal
《文萃》,《展望》,Undirected,20491,journal-journal,,4,,,journal<--->journal
《中建》,《现代文摘(上海)》,Undirected,20492,journal-journal,,1,,,journal<--->journal
《正报》,《群众》,Undirected,20493,journal-journal,,285,,,journal<--->journal
《正报》,《时与文》,Undirected,20494,journal-journal,,5,,,journal<--->journal
《正报》,《现代文摘(上海)》,Undirected,20495,journal-journal,,19,,,journal<--->journal
《光明报》,《观察》,Undirected,20496,journal-journal,,10,,,journal<--->journal
《光明报》,《群众》,Undirected,20497,journal-journal,,40,,,journal<--->journal
《光明报》,《时与文》,Undirected,20498,journal-journal,,7,,,journal<--->journal
《光明报》,《现代文摘(上海)》,Undirected,20499,journal-journal,,11,,,journal<--->journal
《观察》,《时与文》,Undirected,20500,journal-journal,,232,,,journal<--->journal
《观察》,《主流》,Undirected,20501,journal-journal,,2,,,journal<--->journal
《观察》,《现代文摘(上海)》,Undirected,20502,journal-journal,,282,,,journal<--->journal
《观察》,《展望》,Undirected,20503,journal-journal,,9,,,journal<--->journal
《群众》,《时与文》,Undirected,20504,journal-journal,,71,,,journal<--->journal
《群众》,《现代文摘(上海)》,Undirected,20505,journal-journal,,52,,,journal<--->journal
《时与文》,《现代文摘(上海)》,Undirected,20506,journal-journal,,212,,,journal<--->journal
《时与文》,《展望》,Undirected,20507,journal-journal,,9,,,journal<--->journal
《现代文摘(上海)》,《展望》,Undirected,20508,journal-journal,,5,,,journal<--->journal
