Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,journal,"#00EB00",203,0,12,854,0,436,1,2,0.928571,0.961538,6.402381
《中央周刊》,《中央周刊》,,journal(n),journal,"#0000FF",353,0,6,700,0,34,0.561165,2,0.65,0.730769,1
《时代杂志》,《时代杂志》,,journal(c),journal,"#FF0000",369,0,9,815,0,163,0.855236,2,0.764706,0.846154,0.819048
《再生》,《再生》,,journal,journal,"#00EB00",140,0,10,416,0,69,0.901091,2,0.8125,0.884615,2.452381
《文萃》,《文萃》,,journal(c),journal,"#FF0000",96,0,10,136,0,237,0.89341,2,0.8125,0.884615,3.152381
《中建》,《中建》,,journal,journal,"#00EB00",102,0,4,266,0,42,0.380859,3,0.565217,0.641026,0.166667
《正报》,《正报》,,journal(c),journal,"#FF0000",254,0,5,425,0,315,0.508914,3,0.590909,0.679487,0
《民主:桂林版》,《民主:桂林版》,,journal,journal,"#00EB00",19,0,0,20,0,0,0,0,0,0,0
《光明报》,《光明报》,,journal,journal,"#00EB00",49,0,8,77,0,91,0.794502,2,0.722222,0.807692,0.285714
《观察》,《观察》,,journal,journal,"#00EB00",413,0,10,639,0,569,0.845654,2,0.8125,0.884615,13.15
《群众》,《群众》,,journal(c),journal,"#FF0000",356,0,8,657,0,518,0.760978,3,0.684211,0.794872,0.6
《时与文》,《时与文》,,journal,journal,"#00EB00",344,0,11,640,0,744,0.961826,2,0.866667,0.923077,3.569048
《主流》,《主流》,,journal,journal,"#00EB00",47,0,1,76,0,2,0.093359,3,0.464286,0.5,0
《现代文摘(上海)》,《现代文摘(上海)》,,journal,journal,"#00EB00",130,0,12,190,0,738,1,2,0.928571,0.961538,6.402381
《展望》,《展望》,,journal,journal,"#00EB00",9,0,6,9,0,38,0.611733,2,0.65,0.730769,0
