Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《国讯》,《民主(上海)》,Undirected,93193,journal-journal,17961,,,,journal<--->journal
《国讯》,《周报(上海1945)》,Undirected,93194,journal-journal,13708,,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,93195,journal-journal,13462,,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,93196,journal-journal,7319,,,,journal<--->journal
《国讯》,《再生》,Undirected,93197,journal-journal,36596,,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,93198,journal-journal,5803,,,,journal<--->journal
《国讯》,《观察》,Undirected,93199,journal-journal,28086,,,,journal<--->journal
《国讯》,《中建》,Undirected,93200,journal-journal,11373,,,,journal<--->journal
《国讯》,《民主:桂林版》,Undirected,93201,journal-journal,5175,,,,journal<--->journal
《国讯》,《民主周刊(北平)》,Undirected,93202,journal-journal,2062,,,,journal<--->journal
《国讯》,《光明报》,Undirected,93203,journal-journal,12931,,,,journal<--->journal
《国讯》,《时与文》,Undirected,93204,journal-journal,24002,,,,journal<--->journal
《国讯》,《主流》,Undirected,93205,journal-journal,4783,,,,journal<--->journal
《国讯》,《现代文摘(上海)》,Undirected,93206,journal-journal,5694,,,,journal<--->journal
《国讯》,《展望》,Undirected,93207,journal-journal,21477,,,,journal<--->journal
《国讯》,《新路周刊》,Undirected,93208,journal-journal,7277,,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,93209,journal-journal,3878,,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,93210,journal-journal,1378,,,,journal<--->journal
《国讯》,《中建:综合版》,Undirected,93211,journal-journal,3101,,,,journal<--->journal
《民主(上海)》,《周报(上海1945)》,Undirected,93212,journal-journal,8273,,,,journal<--->journal
《民主(上海)》,《民主周刊(昆明)》,Undirected,93213,journal-journal,8090,,,,journal<--->journal
《民主(上海)》,《民主(重庆)》,Undirected,93214,journal-journal,4707,,,,journal<--->journal
《民主(上海)》,《再生》,Undirected,93215,journal-journal,19473,,,,journal<--->journal
《民主(上海)》,《中华论坛》,Undirected,93216,journal-journal,3136,,,,journal<--->journal
《民主(上海)》,《观察》,Undirected,93217,journal-journal,13319,,,,journal<--->journal
《民主(上海)》,《中建》,Undirected,93218,journal-journal,4957,,,,journal<--->journal
《民主(上海)》,《民主:桂林版》,Undirected,93219,journal-journal,3237,,,,journal<--->journal
《民主(上海)》,《民主周刊(北平)》,Undirected,93220,journal-journal,1415,,,,journal<--->journal
《民主(上海)》,《光明报》,Undirected,93221,journal-journal,6929,,,,journal<--->journal
《民主(上海)》,《时与文》,Undirected,93222,journal-journal,10470,,,,journal<--->journal
《民主(上海)》,《主流》,Undirected,93223,journal-journal,1999,,,,journal<--->journal
《民主(上海)》,《现代文摘(上海)》,Undirected,93224,journal-journal,2447,,,,journal<--->journal
《民主(上海)》,《展望》,Undirected,93225,journal-journal,7618,,,,journal<--->journal
《民主(上海)》,《新路周刊》,Undirected,93226,journal-journal,3308,,,,journal<--->journal
《民主(上海)》,《中建:北平版》,Undirected,93227,journal-journal,1991,,,,journal<--->journal
《民主(上海)》,《中建:华北航空版》,Undirected,93228,journal-journal,647,,,,journal<--->journal
《民主(上海)》,《中建:综合版》,Undirected,93229,journal-journal,1618,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,93230,journal-journal,5624,,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,93231,journal-journal,3393,,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,93232,journal-journal,13548,,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,93233,journal-journal,2278,,,,journal<--->journal
《周报(上海1945)》,《观察》,Undirected,93234,journal-journal,11609,,,,journal<--->journal
《周报(上海1945)》,《中建》,Undirected,93235,journal-journal,4037,,,,journal<--->journal
《周报(上海1945)》,《民主:桂林版》,Undirected,93236,journal-journal,2269,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(北平)》,Undirected,93237,journal-journal,1169,,,,journal<--->journal
