Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,journal,"#00EB00",2508,0,19,5592,0,226066,1,1,1,1,0
《民主(上海)》,《民主(上海)》,journal,"#00EB00",1165,0,19,2143,0,121595,1,1,1,1,0
《周报(上海1945)》,《周报(上海1945)》,journal,"#00EB00",1468,0,19,2380,0,97746,1,1,1,1,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,"#00EB00",814,0,19,1423,0,93025,1,1,1,1,0
《民主(重庆)》,《民主(重庆)》,journal,"#00EB00",577,0,19,899,0,52794,1,1,1,1,0
《再生》,《再生》,journal,"#00EB00",1893,0,19,4596,0,232241,1,1,1,1,0
《中华论坛》,《中华论坛》,journal,"#00EB00",389,0,19,590,0,41471,1,1,1,1,0
《观察》,《观察》,journal,"#00EB00",2326,0,19,4479,0,192439,1,1,1,1,0
《中建》,《中建》,journal,"#00EB00",1297,0,19,3405,0,76680,1,1,1,1,0
《民主:桂林版》,《民主:桂林版》,journal,"#00EB00",522,0,19,723,0,38606,1,1,1,1,0
《民主周刊(北平)》,《民主周刊(北平)》,journal,"#00EB00",270,0,19,347,0,16355,1,1,1,1,0
《光明报》,《光明报》,journal,"#00EB00",993,0,19,1704,0,83452,1,1,1,1,0
《时与文》,《时与文》,journal,"#00EB00",2022,0,19,3559,0,158029,1,1,1,1,0
《主流》,《主流》,journal,"#00EB00",329,0,19,612,0,37006,1,1,1,1,0
《现代文摘(上海)》,《现代文摘(上海)》,journal,"#00EB00",370,0,19,567,0,40018,1,1,1,1,0
《展望》,《展望》,journal,"#00EB00",1834,0,19,3302,0,122283,1,1,1,1,0
《新路周刊》,《新路周刊》,journal,"#00EB00",778,0,19,1258,0,58606,1,1,1,1,0
《中建:北平版》,《中建:北平版》,journal,"#00EB00",486,0,19,689,0,29630,1,1,1,1,0
《中建:华北航空版》,《中建:华北航空版》,journal,"#00EB00",278,0,19,334,0,11224,1,1,1,1,0
《中建:综合版》,《中建:综合版》,journal,"#00EB00",150,0,19,314,0,23940,1,1,1,1,0
