Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《国讯》,《民主(上海)》,Undirected,93193,journal-journal,1135,,,,journal<--->journal
《国讯》,《周报(上海1945)》,Undirected,93194,journal-journal,1291,,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,93195,journal-journal,2431,,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,93196,journal-journal,984,,,,journal<--->journal
《国讯》,《再生》,Undirected,93197,journal-journal,771,,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,93198,journal-journal,676,,,,journal<--->journal
《民主(上海)》,《周报(上海1945)》,Undirected,93199,journal-journal,826,,,,journal<--->journal
《民主(上海)》,《民主周刊(昆明)》,Undirected,93200,journal-journal,1410,,,,journal<--->journal
《民主(上海)》,《民主(重庆)》,Undirected,93201,journal-journal,635,,,,journal<--->journal
《民主(上海)》,《再生》,Undirected,93202,journal-journal,383,,,,journal<--->journal
《民主(上海)》,《中华论坛》,Undirected,93203,journal-journal,285,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,93204,journal-journal,1344,,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,93205,journal-journal,769,,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,93206,journal-journal,291,,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,93207,journal-journal,264,,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,93208,journal-journal,1393,,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,93209,journal-journal,1042,,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,93210,journal-journal,790,,,,journal<--->journal
《民主(重庆)》,《再生》,Undirected,93211,journal-journal,433,,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,93212,journal-journal,318,,,,journal<--->journal
《再生》,《中华论坛》,Undirected,93213,journal-journal,314,,,,journal<--->journal
