Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《中央周刊》,《时代杂志》,Undirected,59830,journal-journal,103374,,,,journal<--->journal
《中央周刊》,《国讯》,Undirected,59831,journal-journal,59022,,,,journal<--->journal
《中央周刊》,《民主(上海)》,Undirected,59832,journal-journal,26558,,,,journal<--->journal
《中央周刊》,《周报(上海1945)》,Undirected,59833,journal-journal,20769,,,,journal<--->journal
《中央周刊》,《民主周刊(昆明)》,Undirected,59834,journal-journal,21567,,,,journal<--->journal
《中央周刊》,《文萃》,Undirected,59835,journal-journal,39494,,,,journal<--->journal
《中央周刊》,《民主(重庆)》,Undirected,59836,journal-journal,11683,,,,journal<--->journal
《中央周刊》,《再生》,Undirected,59837,journal-journal,72124,,,,journal<--->journal
《中央周刊》,《中华论坛》,Undirected,59838,journal-journal,9180,,,,journal<--->journal
《中央周刊》,《观察》,Undirected,59839,journal-journal,51116,,,,journal<--->journal
《中央周刊》,《正报》,Undirected,59840,journal-journal,24803,,,,journal<--->journal
《中央周刊》,《中建》,Undirected,59841,journal-journal,25655,,,,journal<--->journal
《中央周刊》,《民主:桂林版》,Undirected,59842,journal-journal,8006,,,,journal<--->journal
《中央周刊》,《民主周刊(北平)》,Undirected,59843,journal-journal,3554,,,,journal<--->journal
《中央周刊》,《解放》,Undirected,59844,journal-journal,895,,,,journal<--->journal
《中央周刊》,《光明报》,Undirected,59845,journal-journal,17069,,,,journal<--->journal
《中央周刊》,《群众》,Undirected,59846,journal-journal,48839,,,,journal<--->journal
《中央周刊》,《时与文》,Undirected,59847,journal-journal,38200,,,,journal<--->journal
《中央周刊》,《主流》,Undirected,59848,journal-journal,9122,,,,journal<--->journal
《中央周刊》,《现代文摘(上海)》,Undirected,59849,journal-journal,10038,,,,journal<--->journal
《中央周刊》,《展望》,Undirected,59850,journal-journal,28714,,,,journal<--->journal
《中央周刊》,《新路周刊》,Undirected,59851,journal-journal,13227,,,,journal<--->journal
《中央周刊》,《中建:北平版》,Undirected,59852,journal-journal,5653,,,,journal<--->journal
《中央周刊》,《中建:华北航空版》,Undirected,59853,journal-journal,2029,,,,journal<--->journal
《中央周刊》,《中建:综合版》,Undirected,59854,journal-journal,5846,,,,journal<--->journal
《时代杂志》,《国讯》,Undirected,59855,journal-journal,60492,,,,journal<--->journal
《时代杂志》,《民主(上海)》,Undirected,59856,journal-journal,27567,,,,journal<--->journal
《时代杂志》,《周报(上海1945)》,Undirected,59857,journal-journal,22082,,,,journal<--->journal
《时代杂志》,《民主周刊(昆明)》,Undirected,59858,journal-journal,21761,,,,journal<--->journal
《时代杂志》,《文萃》,Undirected,59859,journal-journal,36923,,,,journal<--->journal
《时代杂志》,《民主(重庆)》,Undirected,59860,journal-journal,10926,,,,journal<--->journal
《时代杂志》,《再生》,Undirected,59861,journal-journal,68050,,,,journal<--->journal
《时代杂志》,《中华论坛》,Undirected,59862,journal-journal,9775,,,,journal<--->journal
《时代杂志》,《观察》,Undirected,59863,journal-journal,41425,,,,journal<--->journal
《时代杂志》,《正报》,Undirected,59864,journal-journal,29526,,,,journal<--->journal
《时代杂志》,《中建》,Undirected,59865,journal-journal,20010,,,,journal<--->journal
《时代杂志》,《民主:桂林版》,Undirected,59866,journal-journal,8510,,,,journal<--->journal
《时代杂志》,《民主周刊(北平)》,Undirected,59867,journal-journal,3275,,,,journal<--->journal
《时代杂志》,《解放》,Undirected,59868,journal-journal,600,,,,journal<--->journal
《时代杂志》,《光明报》,Undirected,59869,journal-journal,18637,,,,journal<--->journal
《时代杂志》,《群众》,Undirected,59870,journal-journal,48076,,,,journal<--->journal
《时代杂志》,《时与文》,Undirected,59871,journal-journal,32591,,,,journal<--->journal
《时代杂志》,《主流》,Undirected,59872,journal-journal,8759,,,,journal<--->journal
《时代杂志》,《现代文摘(上海)》,Undirected,59873,journal-journal,7964,,,,journal<--->journal
《时代杂志》,《展望》,Undirected,59874,journal-journal,33320,,,,journal<--->journal
《时代杂志》,《新路周刊》,Undirected,59875,journal-journal,16298,,,,journal<--->journal
《时代杂志》,《中建:北平版》,Undirected,59876,journal-journal,5019,,,,journal<--->journal
《时代杂志》,《中建:华北航空版》,Undirected,59877,journal-journal,1531,,,,journal<--->journal
《时代杂志》,《中建:综合版》,Undirected,59878,journal-journal,4382,,,,journal<--->journal
《国讯》,《民主(上海)》,Undirected,59879,journal-journal,17961,,,,journal<--->journal
《国讯》,《周报(上海1945)》,Undirected,59880,journal-journal,13708,,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,59881,journal-journal,13462,,,,journal<--->journal
《国讯》,《文萃》,Undirected,59882,journal-journal,23072,,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,59883,journal-journal,7319,,,,journal<--->journal
《国讯》,《再生》,Undirected,59884,journal-journal,36596,,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,59885,journal-journal,5803,,,,journal<--->journal
《国讯》,《观察》,Undirected,59886,journal-journal,28086,,,,journal<--->journal
