Id,Label,type,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,9,13337,1,1,1,1,0
《时代杂志》,《时代杂志》,journal,9,9729,1,1,1,1,0
《国讯》,《国讯》,journal,9,12478,1,1,1,1,0
《民主(上海)》,《民主(上海)》,journal,9,7305,1,1,1,1,0
《周报(上海1945)》,《周报(上海1945)》,journal,9,7650,1,1,1,1,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,9,13682,1,1,1,1,0
《文萃》,《文萃》,journal,9,5800,1,1,1,1,0
《民主(重庆)》,《民主(重庆)》,journal,9,6691,1,1,1,1,0
《再生》,《再生》,journal,9,5154,1,1,1,1,0
《中华论坛》,《中华论坛》,journal,9,3956,1,1,1,1,0
