Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《中央周刊》,《时代杂志》,Undirected,59830,journal-journal,5290,,,,journal<--->journal
《中央周刊》,《国讯》,Undirected,59831,journal-journal,4650,,,,journal<--->journal
《中央周刊》,《再生》,Undirected,59832,journal-journal,8659,,,,journal<--->journal
《中央周刊》,《观察》,Undirected,59833,journal-journal,5474,,,,journal<--->journal
《中央周刊》,《正报》,Undirected,59834,journal-journal,2221,,,,journal<--->journal
《中央周刊》,《中建》,Undirected,59835,journal-journal,1015,,,,journal<--->journal
《中央周刊》,《光明报》,Undirected,59836,journal-journal,1971,,,,journal<--->journal
《中央周刊》,《群众》,Undirected,59837,journal-journal,7343,,,,journal<--->journal
《中央周刊》,《时与文》,Undirected,59838,journal-journal,6257,,,,journal<--->journal
《中央周刊》,《主流》,Undirected,59839,journal-journal,1141,,,,journal<--->journal
《中央周刊》,《展望》,Undirected,59840,journal-journal,6134,,,,journal<--->journal
《中央周刊》,《新路周刊》,Undirected,59841,journal-journal,3864,,,,journal<--->journal
《中央周刊》,《中建:北平版》,Undirected,59842,journal-journal,1975,,,,journal<--->journal
《中央周刊》,《中建:华北航空版》,Undirected,59843,journal-journal,708,,,,journal<--->journal
《时代杂志》,《国讯》,Undirected,59844,journal-journal,3653,,,,journal<--->journal
《时代杂志》,《再生》,Undirected,59845,journal-journal,3690,,,,journal<--->journal
《时代杂志》,《观察》,Undirected,59846,journal-journal,3366,,,,journal<--->journal
《时代杂志》,《正报》,Undirected,59847,journal-journal,2525,,,,journal<--->journal
《时代杂志》,《中建》,Undirected,59848,journal-journal,1343,,,,journal<--->journal
《时代杂志》,《光明报》,Undirected,59849,journal-journal,1697,,,,journal<--->journal
《时代杂志》,《群众》,Undirected,59850,journal-journal,4891,,,,journal<--->journal
《时代杂志》,《时与文》,Undirected,59851,journal-journal,3516,,,,journal<--->journal
《时代杂志》,《主流》,Undirected,59852,journal-journal,550,,,,journal<--->journal
《时代杂志》,《展望》,Undirected,59853,journal-journal,5700,,,,journal<--->journal
《时代杂志》,《新路周刊》,Undirected,59854,journal-journal,3442,,,,journal<--->journal
《时代杂志》,《中建:北平版》,Undirected,59855,journal-journal,1075,,,,journal<--->journal
《时代杂志》,《中建:华北航空版》,Undirected,59856,journal-journal,283,,,,journal<--->journal
《国讯》,《再生》,Undirected,59857,journal-journal,2807,,,,journal<--->journal
《国讯》,《观察》,Undirected,59858,journal-journal,2509,,,,journal<--->journal
《国讯》,《正报》,Undirected,59859,journal-journal,1630,,,,journal<--->journal
《国讯》,《中建》,Undirected,59860,journal-journal,690,,,,journal<--->journal
《国讯》,《光明报》,Undirected,59861,journal-journal,1115,,,,journal<--->journal
《国讯》,《群众》,Undirected,59862,journal-journal,3918,,,,journal<--->journal
《国讯》,《时与文》,Undirected,59863,journal-journal,2897,,,,journal<--->journal
《国讯》,《主流》,Undirected,59864,journal-journal,420,,,,journal<--->journal
《国讯》,《展望》,Undirected,59865,journal-journal,4674,,,,journal<--->journal
《国讯》,《新路周刊》,Undirected,59866,journal-journal,1694,,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,59867,journal-journal,1112,,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,59868,journal-journal,411,,,,journal<--->journal
《再生》,《观察》,Undirected,59869,journal-journal,4095,,,,journal<--->journal
《再生》,《正报》,Undirected,59870,journal-journal,902,,,,journal<--->journal
《再生》,《中建》,Undirected,59871,journal-journal,805,,,,journal<--->journal
《再生》,《光明报》,Undirected,59872,journal-journal,1085,,,,journal<--->journal
《再生》,《群众》,Undirected,59873,journal-journal,3516,,,,journal<--->journal
《再生》,《时与文》,Undirected,59874,journal-journal,4429,,,,journal<--->journal
《再生》,《主流》,Undirected,59875,journal-journal,1372,,,,journal<--->journal
《再生》,《展望》,Undirected,59876,journal-journal,4055,,,,journal<--->journal
《再生》,《新路周刊》,Undirected,59877,journal-journal,4336,,,,journal<--->journal
《再生》,《中建:北平版》,Undirected,59878,journal-journal,1048,,,,journal<--->journal
《再生》,《中建:华北航空版》,Undirected,59879,journal-journal,331,,,,journal<--->journal
《观察》,《正报》,Undirected,59880,journal-journal,1198,,,,journal<--->journal
《观察》,《中建》,Undirected,59881,journal-journal,940,,,,journal<--->journal
《观察》,《光明报》,Undirected,59882,journal-journal,1235,,,,journal<--->journal
《观察》,《群众》,Undirected,59883,journal-journal,3526,,,,journal<--->journal
《观察》,《时与文》,Undirected,59884,journal-journal,3633,,,,journal<--->journal
《观察》,《主流》,Undirected,59885,journal-journal,599,,,,journal<--->journal
《观察》,《展望》,Undirected,59886,journal-journal,4199,,,,journal<--->journal
《观察》,《新路周刊》,Undirected,59887,journal-journal,2759,,,,journal<--->journal
《观察》,《中建:北平版》,Undirected,59888,journal-journal,1370,,,,journal<--->journal
《观察》,《中建:华北航空版》,Undirected,59889,journal-journal,579,,,,journal<--->journal
《正报》,《中建》,Undirected,59890,journal-journal,1398,,,,journal<--->journal
《正报》,《光明报》,Undirected,59891,journal-journal,661,,,,journal<--->journal
《正报》,《群众》,Undirected,59892,journal-journal,3757,,,,journal<--->journal
《正报》,《时与文》,Undirected,59893,journal-journal,1134,,,,journal<--->journal
《正报》,《主流》,Undirected,59894,journal-journal,184,,,,journal<--->journal
《正报》,《展望》,Undirected,59895,journal-journal,2354,,,,journal<--->journal
《正报》,《新路周刊》,Undirected,59896,journal-journal,974,,,,journal<--->journal
《正报》,《中建:北平版》,Undirected,59897,journal-journal,639,,,,journal<--->journal
《正报》,《中建:华北航空版》,Undirected,59898,journal-journal,244,,,,journal<--->journal
《中建》,《光明报》,Undirected,59899,journal-journal,326,,,,journal<--->journal
《中建》,《群众》,Undirected,59900,journal-journal,1112,,,,journal<--->journal
《中建》,《时与文》,Undirected,59901,journal-journal,906,,,,journal<--->journal
《中建》,《主流》,Undirected,59902,journal-journal,89,,,,journal<--->journal
《中建》,《展望》,Undirected,59903,journal-journal,1211,,,,journal<--->journal
《中建》,《新路周刊》,Undirected,59904,journal-journal,815,,,,journal<--->journal
《中建》,《中建:北平版》,Undirected,59905,journal-journal,301,,,,journal<--->journal
《中建》,《中建:华北航空版》,Undirected,59906,journal-journal,104,,,,journal<--->journal
《光明报》,《群众》,Undirected,59907,journal-journal,1739,,,,journal<--->journal
《光明报》,《时与文》,Undirected,59908,journal-journal,1535,,,,journal<--->journal
《光明报》,《主流》,Undirected,59909,journal-journal,165,,,,journal<--->journal
《光明报》,《展望》,Undirected,59910,journal-journal,2146,,,,journal<--->journal
《光明报》,《新路周刊》,Undirected,59911,journal-journal,963,,,,journal<--->journal
《光明报》,《中建:北平版》,Undirected,59912,journal-journal,580,,,,journal<--->journal
