Source,Target,Type,Id,Label,Weight,author,year,place
时事,《国讯》,Directed,59830,,16,M.H.,1947,上海
解剖,《国讯》,Directed,59831,,8,沙溪,1945,上海
会议,《国讯》,Directed,59832,,21,沈体兰,1948,上海
流亡,《民主(上海)》,Directed,59833,,9,胡愈之,1946,上海
生活,《民主(上海)》,Directed,59834,,9,景宋,1946,上海
韬奋,《民主(上海)》,Directed,59835,,15,陶行知,1946,上海
南行,《周报(上海1945)》,Directed,59836,,5,柳宗元,1945,上海
徒步,《周报(上海1945)》,Directed,59837,,5,柳宗元,1945,上海
时事,《民主周刊(昆明)》,Directed,59838,,8,正非,1945,昆明
民主,《民主(上海)》,Directed,59839,,61,齐人,1946,上海
津浦路,《周报(上海1945)》,Directed,59840,,5,柳宗元,1945,上海
经济,《国讯》,Directed,59841,,42,黄炎培,1948,上海
世界,《民主周刊(昆明)》,Directed,59843,,7,曾昭抡,1945,昆明
中国,《民主周刊(昆明)》,Directed,59844,,28,静远,1946,昆明
之页,《国讯》,Directed,59845,,11,问梁,1945,上海
以后,《民主周刊(昆明)》,Directed,59847,,6,黎卿,1946,昆明
先生,《民主(重庆)》,Directed,59848,,11,骆闻,1946,重庆
印度,《民主周刊(昆明)》,Directed,59849,,4,曹刚,1945,昆明
安定,《国讯》,Directed,59850,,4,光军,1945,上海
旧金山,《国讯》,Directed,59851,,7,引流,1945,上海
自己,《民主周刊(昆明)》,Directed,59852,,5,胡钊,1946,昆明
重庆,《民主周刊(昆明)》,Directed,59853,,10,弘仁,1946,昆明
一二,《民主周刊(昆明)》,Directed,59854,,4,游牧,1945,昆明
世界,《再生》,Directed,59855,,38,沈立钧,1948,上海
中国,《再生》,Directed,59856,,113,黎玄,1949,上海
会议,《再生》,Directed,59858,,26,谢定,1948,上海
会议,《民主周刊(昆明)》,Directed,59859,,10,鲁小詹,1945,昆明
冯友兰,《周报(上海1945)》,Directed,59860,,3,曹聚仁,1945,上海
前后,《民主(上海)》,Directed,59861,,15,陆诒,1946,上海
半月,《再生》,Directed,59862,,3,石啸冲,1945,重庆
团结,《国讯》,Directed,59863,,9,石啸冲,1947,上海
国际,《再生》,Directed,59864,,13,谢定,1948,上海
国难,《民主(重庆)》,Directed,59865,,3,愚公,1945,重庆
大事记,《民主(上海)》,Directed,59866,,4,董秋斯,1946,上海
大会,《民主周刊(昆明)》,Directed,59867,,3,努生,1945,昆明
太平洋战争,《民主(上海)》,Directed,59868,,4,董秋斯,1946,上海
延安,《国讯》,Directed,59869,,3,黄炎培,1945,上海
战后,《周报(上海1945)》,Directed,59870,,6,鲍乐蒂,1945,上海
日记,《国讯》,Directed,59871,,3,黄炎培,1945,上海
柏林,《民主周刊(昆明)》,Directed,59872,,3,昭抡,1945,昆明
民主,《民主周刊(昆明)》,Directed,59873,,40,费孝通,1946,昆明
理学,《周报(上海1945)》,Directed,59874,,3,曹聚仁,1945,上海
生活,《民主周刊(昆明)》,Directed,59875,,9,罗尔鲍伏 伯涛,1946,昆明
瞭望,《再生》,Directed,59876,,3,石啸冲,1945,重庆
社会,《国讯》,Directed,59877,,6,方东旭,1948,上海
纪念,《民主周刊(昆明)》,Directed,59878,,7,萧曙,1946,昆明
经济,《中华论坛》,Directed,59879,,7,勾适生,1946,重庆
美国,《民主周刊(昆明)》,Directed,59881,,20,胡冈,1946,昆明
