Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事(1945),时事,notion,0,2,2,0,18,18,0.052834,4,0.329173,0.370523,1034.68486
《国讯》,《国讯》,journal,566,0,566,1019,0,1019,0.84675,3,0.408703,0.517258,726803.86357
解剖(1945),解剖,notion,0,1,1,0,8,8,0.026572,4,0.290168,0.319276,0
会议(1945),会议,notion,0,6,6,0,40,40,0.102518,4,0.416312,0.450818,11155.69537
流亡(1945),流亡,notion,0,1,1,0,6,6,0.017046,4,0.27511,0.295698,0
《民主(上海)》,《民主(上海)》,journal,372,0,372,534,0,534,0.527929,3,0.37945,0.454383,450266.488363
生活(1945),生活,notion,0,6,6,0,22,22,0.126997,4,0.488483,0.495179,15606.146498
韬奋(1945),韬奋,notion,0,3,3,0,8,8,0.074792,4,0.372443,0.414844,3778.955445
南行(1945),南行,notion,0,1,1,0,5,5,0.031173,4,0.298246,0.330943,0
《周报(上海1945)》,《周报(上海1945)》,journal,662,0,662,919,0,919,1,3,0.424912,0.548371,882458.487173
徒步(1945),徒步,notion,0,1,1,0,5,5,0.031173,4,0.298246,0.330943,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,555,0,555,935,0,935,0.84027,3,0.406924,0.513693,704610.28572
民主(1945),民主,notion,0,7,7,0,99,99,0.133692,2,0.500852,0.501702,18523.484084
津浦路(1945),津浦路,notion,0,1,1,0,5,5,0.031173,4,0.298246,0.330943,0
经济(1945),经济,notion,0,6,6,0,33,33,0.116646,4,0.456807,0.477435,13316.273863
世界(1945),世界,notion,0,7,7,0,32,32,0.133692,2,0.500852,0.501702,18523.484084
中国(1945),中国,notion,0,7,7,0,72,72,0.133692,2,0.500852,0.501702,18523.484084
之页(1945),之页,notion,0,1,1,0,11,11,0.026572,4,0.290168,0.319276,0
以后(1945),以后,notion,0,4,4,0,12,12,0.101566,4,0.428989,0.459285,7743.099014
先生(1945),先生,notion,0,6,6,0,32,32,0.126997,4,0.488483,0.495179,15606.146498
《民主(重庆)》,《民主(重庆)》,journal,387,0,387,557,0,557,0.541085,3,0.381562,0.459245,477794.53643
印度(1945),印度,notion,0,4,4,0,7,7,0.081176,4,0.381138,0.422703,5455.652466
安定(1945),安定,notion,0,2,2,0,6,6,0.057746,4,0.343463,0.386323,1648.386736
旧金山(1945),旧金山,notion,0,4,4,0,15,15,0.067914,4,0.34894,0.39244,3693.669024
自己(1945),自己,notion,0,3,3,0,7,7,0.070392,4,0.35993,0.403176,3369.961791
重庆(1945),重庆,notion,0,4,4,0,25,25,0.101053,4,0.426145,0.457341,7391.891602
一二(1945),一二,notion,0,3,3,0,7,7,0.074994,4,0.372038,0.414479,3678.778189
《再生》,《再生》,journal,183,0,183,249,0,249,0.250757,3,0.354716,0.393129,193055.767855
冯友兰(1945),冯友兰,notion,0,1,1,0,3,3,0.031173,4,0.298246,0.330943,0
前后(1945),前后,notion,0,3,3,0,6,6,0.056605,4,0.33749,0.380084,2915.212903
半月(1945),半月,notion,0,1,1,0,3,3,0.008386,4,0.261871,0.272727,0
团结(1945),团结,notion,0,6,6,0,26,26,0.116646,4,0.456807,0.477435,13316.273863
国际(1945),国际,notion,0,4,4,0,9,9,0.067914,4,0.34894,0.39244,3693.669024
国难(1945),国难,notion,0,1,1,0,3,3,0.017558,4,0.276219,0.297521,0
大事记(1945),大事记,notion,0,1,1,0,3,3,0.017046,4,0.27511,0.295698,0
大会(1945),大会,notion,0,4,4,0,9,9,0.101566,4,0.428989,0.459285,7743.099014
太平洋战争(1945),太平洋战争,notion,0,1,1,0,3,3,0.017046,4,0.27511,0.295698,0
延安(1945),延安,notion,0,2,2,0,4,4,0.043618,4,0.314574,0.352901,923.024553
战后(1945),战后,notion,0,4,4,0,16,16,0.090702,4,0.401523,0.439353,6015.210721
日记(1945),日记,notion,0,1,1,0,3,3,0.026572,4,0.290168,0.319276,0
柏林(1945),柏林,notion,0,3,3,0,6,6,0.084007,4,0.391735,0.431373,4252.368262
理学(1945),理学,notion,0,1,1,0,3,3,0.031173,4,0.298246,0.330943,0
瞭望(1945),瞭望,notion,0,1,1,0,3,3,0.008386,4,0.261871,0.272727,0
社会(1945),社会,notion,0,4,4,0,9,9,0.101053,4,0.426145,0.457341,7391.891602
纪念(1945),纪念,notion,0,6,6,0,17,17,0.125306,4,0.481395,0.491411,14529.712051
《中华论坛》,《中华论坛》,journal,136,0,136,186,0,186,0.205136,3,0.349058,0.377897,124607.570889
美国(1945),美国,notion,0,6,6,0,33,33,0.125306,4,0.481395,0.491411,14529.712051
胜利(1945),胜利,notion,0,6,6,0,44,44,0.126997,4,0.488483,0.495179,15606.146498
航讯(1945),航讯,notion,0,1,1,0,4,4,0.026262,4,0.28927,0.317939,0
英国(1945),英国,notion,0,6,6,0,19,19,0.116646,4,0.456807,0.477435,13316.273863
诗词(1945),诗词,notion,0,2,2,0,5,5,0.044131,4,0.318766,0.358127,1381.249229
谈屑(1945),谈屑,notion,0,1,1,0,3,3,0.017558,4,0.276219,0.297521,0
遭难(1945),遭难,notion,0,2,2,0,4,4,0.048219,4,0.324602,0.365176,1207.544156
野记(1945),野记,notion,0,1,1,0,3,3,0.017558,4,0.276219,0.297521,0
问题(1945),问题,notion,0,7,7,0,68,68,0.133692,2,0.500852,0.501702,18523.484084
一些(1945),一些,notion,0,4,4,0,5,5,0.101053,4,0.426145,0.457341,7391.891602
一次(1945),一次,notion,0,2,2,0,3,3,0.052834,4,0.329173,0.370523,1034.68486
三十一日(1945),三十一日,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
不怕(1945),不怕,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
不要(1945),不要,notion,0,5,5,0,7,7,0.107748,4,0.437009,0.464836,9594.693131
云南(1945),云南,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
五千万(1945),五千万,notion,0,1,1,0,2,2,0.017558,4,0.276219,0.297521,0
人为(1945),人为,notion,0,1,1,0,3,3,0.017046,4,0.27511,0.295698,0
人民(1945),人民,notion,0,7,7,0,40,40,0.133692,2,0.500852,0.501702,18523.484084
人间(1945),人间,notion,0,2,2,0,4,4,0.057435,4,0.342092,0.384865,1569.296666
介绍(1945),介绍,notion,0,2,2,0,3,3,0.033267,4,0.297728,0.330416,532.944516
伦敦(1945),伦敦,notion,0,3,3,0,4,4,0.06988,4,0.357056,0.400381,2966.664044
保障(1945),保障,notion,0,3,3,0,5,5,0.051693,4,0.32656,0.367688,2359.968426
信条(1945),信条,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
八一(1945),八一,notion,0,1,1,0,7,7,0.026572,4,0.290168,0.319276,0
八年(1945),八年,notion,0,2,2,0,6,6,0.057435,4,0.342092,0.384865,1569.296666
内战(1945),内战,notion,0,7,7,0,35,35,0.133692,2,0.500852,0.501702,18523.484084
农村(1945),农村,notion,0,3,3,0,7,7,0.070392,4,0.35993,0.403176,3369.961791
准备(1945),准备,notion,0,1,1,0,2,2,0.026262,4,0.28927,0.317939,0
几个(1945),几个,notion,0,4,4,0,10,10,0.101053,4,0.426145,0.457341,7391.891602
动态(1945),动态,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
努力(1945),努力,notion,0,2,2,0,10,10,0.052834,4,0.329173,0.370523,1034.68486
十月革命(1945),十月革命,notion,0,2,2,0,3,3,0.034604,4,0.30148,0.335643,973.822832
华沙(1945),华沙,notion,0,1,1,0,2,2,0.026262,4,0.28927,0.317939,0
协调(1945),协调,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
危机(1945),危机,notion,0,5,5,0,11,11,0.094133,4,0.401209,0.439313,8215.687106
历史(1945),历史,notion,0,6,6,0,12,12,0.125306,4,0.481395,0.491411,14529.712051
原子弹(1945),原子弹,notion,0,2,2,0,4,4,0.034604,4,0.30148,0.335643,973.822832
原子能(1945),原子能,notion,0,3,3,0,4,4,0.075304,4,0.375708,0.41776,4185.089786
参政会(1945),参政会,notion,0,2,2,0,6,6,0.052834,4,0.329173,0.370523,1034.68486
各界(1945),各界,notion,0,2,2,0,6,6,0.048732,4,0.325115,0.365784,1155.453821
名辩(1945),名辩,notion,0,1,1,0,2,2,0.006694,4,0.258775,0.267015,0
和平(1945),和平,notion,0,7,7,0,37,37,0.133692,2,0.500852,0.501702,18523.484084
四万(1945),四万,notion,0,1,1,0,2,2,0.017558,4,0.276219,0.297521,0
国内(1945),国内,notion,0,3,3,0,5,5,0.052516,4,0.330654,0.372427,2726.172978
国大(1945),国大,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
国民大会(1945),国民大会,notion,0,2,2,0,3,3,0.057435,4,0.342092,0.384865,1569.296666
地理(1945),地理,notion,0,1,1,0,2,2,0.031173,4,0.298246,0.330943,0
外长(1945),外长,notion,0,3,3,0,6,6,0.060866,4,0.342776,0.385796,2936.805165
失业(1945),失业,notion,0,3,3,0,5,5,0.074792,4,0.372443,0.414844,3778.955445
对华政策(1945),对华政策,notion,0,5,5,0,11,11,0.118612,4,0.469313,0.484524,11856.445185
对策(1945),对策,notion,0,1,1,0,3,3,0.026262,4,0.28927,0.317939,0
展望(1945),展望,notion,0,4,4,0,7,7,0.08369,4,0.390101,0.430238,6583.777303
工作(1945),工作,notion,0,3,3,0,4,4,0.06122,4,0.341184,0.384095,2420.099412
平底(1945),平底,notion,0,1,1,0,2,2,0.026262,4,0.28927,0.317939,0
应否(1945),应否,notion,0,1,1,0,2,2,0.026262,4,0.28927,0.317939,0
开发(1945),开发,notion,0,1,1,0,2,2,0.031173,4,0.298246,0.330943,0
待续(1945),待续,notion,0,2,2,0,3,3,0.057746,4,0.343463,0.386323,1648.386736
思想(1945),思想,notion,0,2,2,0,4,4,0.037868,4,0.306694,0.342692,733.343567
思潮(1945),思潮,notion,0,1,1,0,2,2,0.006694,4,0.258775,0.267015,0
恢复(1945),恢复,notion,0,3,3,0,5,5,0.084007,4,0.391735,0.431373,4252.368262
成功(1945),成功,notion,0,3,3,0,4,4,0.066131,4,0.356437,0.399773,3390.45624
成都(1945),成都,notion,0,5,5,0,6,6,0.118612,4,0.469313,0.484524,11856.445185
战局(1945),战局,notion,0,3,3,0,7,7,0.059528,4,0.337158,0.37972,2064.183752
批判(1945),批判,notion,0,1,1,0,2,2,0.006694,4,0.258775,0.267015,0
