Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,1252,0,1252,2605,0,2605,0.818444,3,0.380059,0.455935,4844009.648957
《时代杂志》,《时代杂志》,journal,871,0,871,2268,0,2268,0.555033,3,0.364593,0.41873,3156299.976849
《国讯》,《国讯》,journal,1530,0,1530,2871,0,2871,1,3,0.392199,0.483082,6163541.611616
《文萃》,《文萃》,journal,313,0,313,399,0,399,0.20474,3,0.344085,0.36424,901333.873324
《再生》,《再生》,journal,769,0,769,1503,0,1503,0.524025,3,0.360664,0.408769,2542659.137156
《观察》,《观察》,journal,1256,0,1256,2083,0,2083,0.803051,3,0.380228,0.456325,4920814.585425
《正报》,《正报》,journal,1021,0,1021,1705,0,1705,0.627508,3,0.370529,0.433377,4002688.140811
《中建》,《中建》,journal,695,0,695,1665,0,1665,0.39966,3,0.357865,0.401543,2693732.675533
《民主:桂林版》,《民主:桂林版》,journal,54,0,54,59,0,59,0.04347,3,0.335331,0.338948,95989.439748
《光明报》,《光明报》,journal,281,0,281,395,0,395,0.207729,3,0.342979,0.361115,640899.000512
杂话(1947),杂话,notion,0,1,1,0,56,56,0.013711,4,0.275027,0.295469,0
《群众》,《群众》,journal,1235,0,1235,2378,0,2378,0.775908,3,0.379341,0.454275,4864321.78338
茶亭(1947),茶亭,notion,0,1,1,0,56,56,0.013711,4,0.275027,0.295469,0
一週(1947),一週,notion,0,1,1,0,54,54,0.014222,4,0.275404,0.296091,0
时事(1947),时事,notion,0,4,4,0,87,87,0.05181,4,0.339635,0.38211,11504.912599
战局(1947),战局,notion,0,8,8,0,62,62,0.093761,4,0.423695,0.455373,47925.23631
官僚政治(1947),官僚政治,notion,0,1,1,0,26,26,0.014732,4,0.276453,0.297813,0
《时与文》,《时与文》,journal,1299,0,1299,2063,0,2063,0.847828,3,0.382058,0.460524,5057777.195152
中国(1947),中国,notion,0,14,14,0,270,270,0.12627,4,0.499524,0.500525,107739.132696
学生(1947),学生,notion,0,9,9,0,82,82,0.097333,4,0.429236,0.459243,51719.499554
亮话(1947),亮话,notion,0,1,1,0,35,35,0.017323,4,0.281723,0.306272,0
华莱士(1947),华莱士,notion,0,7,7,0,34,34,0.08421,4,0.401896,0.43931,34276.447759
民主(1947),民主,notion,0,15,15,0,145,145,0.127139,2,0.50055,0.501099,113126.555332
