Source,Target,Type,Id,Label,Weight,author,year,place
杂话(1948),《群众》,Directed,38462,,71,赵世,1948,香港
茶亭(1948),《群众》,Directed,38463,,70,汪老吉,1948,香港
中国(1948),《中央周刊》,Directed,38464,,84,黄通 王耑 丁昌,1948,南京
中国(1948),《再生》,Directed,38465,,62,黄河清,1948,上海
使命(1948),《再生》,Directed,38466,,33,张肖梅 杨博如,1948,上海
对外贸易(1948),《再生》,Directed,38467,,33,张肖梅 杨博如,1948,上海
应有(1948),《再生》,Directed,38468,,33,张肖梅 杨博如,1948,上海
我国(1948),《再生》,Directed,38469,,37,张君劢,1948,上海
措施(1948),《再生》,Directed,38470,,34,陈述昆,1948,上海
政府(1948),《再生》,Directed,38471,,35,黄撼石,1948,上海
重大(1948),《再生》,Directed,38472,,33,张肖梅 杨博如,1948,上海
战局(1948),《展望》,Directed,38473,,29,杜渐,1948,南京
展望(1948),《展望》,Directed,38474,,113,鲁生,1948,南京
制度(1948),《再生》,Directed,38475,,49,张君劢,1948,上海
文官(1948),《再生》,Directed,38476,,25,叶新华,1948,上海
历史(1948),《再生》,Directed,38479,,24,黄河清,1948,上海
史谈(1948),《再生》,Directed,38480,,20,杜衡,1948,上海
国际(1948),《展望》,Directed,38481,,28,萧贤,1948,南京
官僚政治(1948),《时与文》,Directed,38482,,20,王亚南,1948,上海
政治(1948),《再生》,Directed,38483,,39,黎玄,1948,上海
经济(1948),《展望》,Directed,38484,,41,龟溪,1948,南京
上海(1948),《群众》,Directed,38485,,43,黄江,1948,香港
学生(1948),《国讯》,Directed,38486,,19,潮声,1948,上海
中国(1948),《时与文》,Directed,38487,,34,马复生,1948,上海
亚洲(1948),《中央周刊》,Directed,38488,,16,君羊,1948,南京
战局(1948),《国讯》,Directed,38489,,17,王民,1948,上海
批评(1948),《中央周刊》,Directed,38490,,132,马良,1948,南京
美国(1948),《时与文》,Directed,38491,,36,静怀,1948,上海
美国(1948),《中央周刊》,Directed,38493,,28,鲁儒林,1948,南京
各国(1948),《再生》,Directed,38496,,13,叶新华,1948,上海
政局(1948),《展望》,Directed,38498,,28,鲁生,1948,南京
时事(1948),《时代杂志》,Directed,38499,,23,种素,1948,上海
随感(1948),《时代杂志》,Directed,38500,,23,种素,1948,上海
联大(1948),《时代杂志》,Directed,38502,,13,莫宁,1948,上海
华莱士(1948),《国讯》,Directed,38503,,13,石仲子,1948,上海
反对(1948),《国讯》,Directed,38504,,13,范士宏,1948,上海
日内瓦(1948),《新路周刊》,Directed,38505,,11,陈达,1948,北平
瑞士(1948),《新路周刊》,Directed,38506,,11,陈达,1948,北平
三年(1948),《正报》,Directed,38507,,11,荃麟,1948,香港
今日(1948),《时与文》,Directed,38508,,13,邵燕平,1948,上海
多幅(1948),《群众》,Directed,38509,,19,则盛,1948,香港
思想(1948),《时与文》,Directed,38510,,10,蔡尚思,1948,上海
梁漱溟(1948),《时与文》,Directed,38513,,10,蔡尚思,1948,上海
游击战争(1948),《正报》,Directed,38514,,11,荃麟,1948,香港
美国(1948),《中建》,Directed,38515,,12,芝英,1948,上海
苏联(1948),《时代杂志》,Directed,38516,,44,龚佳洛夫 思立,1948,上海
前身(1948),《正报》,Directed,38517,,9,野草,1948,香港
奋斗史(1948),《正报》,Directed,38518,,9,野草,1948,香港
战局(1948),《正报》,Directed,38520,,10,怀湘 涤新,1948,香港
新四军(1948),《正报》,Directed,38521,,9,野草,1948,香港
民主(1948),《国讯》,Directed,38523,,15,高向华,1948,上海
风光(1948),《新路周刊》,Directed,38525,,9,陈达,1948,北平
北美(1948),《时与文》,Directed,38527,,8,陈达,1948,上海
古录(1948),《再生》,Directed,38528,,8,微明,1948,上海
委员会(1948),《时代杂志》,Directed,38529,,11,巴萨尔金 高明,1948,上海
对华政策(1948),《中央周刊》,Directed,38530,,9,奥特莱(FREDA UTLEY),1948,南京
成立(1948),《国讯》,Directed,38531,,9,黄炎培,1948,上海
援华(1948),《中央周刊》,Directed,38534,,9,周酉村,1948,南京
援华(1948),《国讯》,Directed,38535,,11,林焕平,1948,上海
琐记(1948),《中建》,Directed,38537,,8,程梯云,1948,上海
美国(1948),《光明报》,Directed,38538,,14,黄药眠,1948,香港
运粮(1948),《中建》,Directed,38539,,8,程梯云,1948,上海
重游(1948),《时与文》,Directed,38540,,9,凤子,1948,上海
南京(1948),《群众》,Directed,38541,,19,赵世,1948,香港
国际(1948),《中央周刊》,Directed,38542,,8,周子亚,1948,南京
大学生(1948),《国讯》,Directed,38543,,7,M.H.,1948,上海
天下(1948),《观察》,Directed,38544,,7,费孝通,1948,上海
天风(1948),《中央周刊》,Directed,38545,,7,伯商,1948,南京
工人(1948),《国讯》,Directed,38546,,7,M.H.,1948,上海
攻势(1948),《群众》,Directed,38547,,8,里昂,1948,香港
文化(1948),《展望》,Directed,38548,,9,闻鼙,1948,南京
文化(1948),《时代杂志》,Directed,38549,,15,爱伦堡 无以,1948,上海
海涛(1948),《中央周刊》,Directed,38550,,7,伯商,1948,南京
演辞(1948),《时代杂志》,Directed,38551,,8,马力克,1948,上海
炉边(1948),《观察》,Directed,38552,,7,费孝通,1948,上海
独树港(1948),《中建》,Directed,38553,,7,周公南,1948,上海
研究(1948),《时与文》,Directed,38554,,7,王亚南,1948,上海
社会主义(1948),《再生》,Directed,38555,,12,紫云,1948,上海
第一(1948),《时代杂志》,Directed,38556,,7,维辛斯基,1948,上海
经济(1948),《时与文》,Directed,38557,,17,钟唐,1948,上海
街头(1948),《时代杂志》,Directed,38558,,7,北辰,1948,上海
要求(1948),《国讯》,Directed,38559,,7,M.H.,1948,上海
论衡(1948),《中央周刊》,Directed,38560,,7,君羊,1948,南京
选粹(1948),《中央周刊》,Directed,38561,,7,君羊,1948,南京
两周(1948),《展望》,Directed,38562,,6,甄斯,1948,南京
中部(1948),《展望》,Directed,38565,,6,甄斯,1948,南京
作者(1948),《时与文》,Directed,38566,,6,林海,1948,上海
先生(1948),《中央周刊》,Directed,38567,,34,邵力子 季,1948,南京
剪影(1948),《中建》,Directed,38568,,7,杜林,1948,上海
历史(1948),《时与文》,Directed,38569,,10,郁栀,1948,上海
土地(1948),《中央周刊》,Directed,38570,,28,黄通 王耑 丁昌,1948,南京
地方(1948),《中建》,Directed,38571,,10,顾秉之,1948,上海
大别山(1948),《群众》,Directed,38573,,7,王中元 裴植 薛,1948,香港
局势(1948),《中央周刊》,Directed,38574,,7,周酉村,1948,南京
展望(1948),《中央周刊》,Directed,38575,,7,叶松坡,1948,南京
广播(1948),《展望》,Directed,38576,,7,林,1948,南京
政治(1948),《展望》,Directed,38579,,17,衣锦,1948,南京
日本(1948),《中央周刊》,Directed,38580,,11,黄越,1948,南京
游记(1948),《展望》,Directed,38581,,6,甄斯,1948,南京
续完(1948),《时代杂志》,Directed,38582,,7,日丹诺夫 梁香,1948,上海
美国(1948),《展望》,Directed,38583,,41,陈仁炳,1948,南京
美国(1948),《观察》,Directed,38586,,27,陈家澂,1948,上海
自治(1948),《国讯》,Directed,38587,,7,杨祖之,1948,上海
裁军(1948),《时代杂志》,Directed,38588,,6,维辛斯基,1948,上海
解放(1948),《群众》,Directed,38589,,12,高岗,1948,香港
远东(1948),《中央周刊》,Directed,38590,,6,君羊,1948,南京
问题(1948),《时代杂志》,Directed,38591,,21,马力克,1948,上海
香港(1948),《展望》,Directed,38592,,18,郭泉,1948,南京
世界(1948),《群众》,Directed,38593,,6,许涤新,1948,香港
事件(1948),《国讯》,Directed,38594,,7,孙殿伟,1948,上海
制度(1948),《新路周刊》,Directed,38595,,27,蒋硕傑,1948,北平
周末(1948),《展望》,Directed,38596,,5,仲亨,1948,南京
地方(1948),《再生》,Directed,38597,,6,欧阳革辛,1948,上海
外二题(1948),《时代杂志》,Directed,38598,,6,钟素,1948,上海
外交政策(1948),《再生》,Directed,38599,,9,张君劢,1948,上海
工作(1948),《中建》,Directed,38600,,34,陈涛,1948,上海
抗议(1948),《国讯》,Directed,38601,,5,M.H.,1948,上海
梧州(1948),《群众》,Directed,38602,,5,萧幸,1948,香港
民盟(1948),《国讯》,Directed,38603,,5,M.H.,1948,上海
