Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,26,0,1021,8704,0.756837,3,0.573578,0.632039,12030.604329
解剖 (n),解剖,,notion,4,0,83,510,0.046386,4,0.48107,0.494163,231.692126
流亡 (n),流亡,,notion,7,0,53,258,0.032608,4,0.47549,0.487474,113.972905
生活 (n),生活,,notion,111,0,1334,9987,0.505958,3,0.602783,0.673487,91831.929629
韬奋 (n),韬奋,,notion,16,0,530,1256,0.280599,3,0.531289,0.565976,5533.975407
民主 (n),民主,,notion,239,0,2161,54032,0.958892,3,0.695747,0.782747,201131.746317
南行 (n),南行,,notion,2,0,46,120,0.027795,4,0.45408,0.470379,4.711697
经济 (n),经济,,notion,164,0,1825,17765,0.907827,3,0.654308,0.738195,112874.407549
安定 (n),安定,,notion,4,0,80,159,0.05062,4,0.484063,0.496043,108.050486
自己 (n),自己,,notion,21,0,470,906,0.24765,3,0.526447,0.557844,6808.166138
世界 (n),世界,,notion,106,0,1618,16594,0.884385,3,0.63123,0.710782,63529.294144
以后 (n),以后,,notion,41,0,880,2574,0.421484,3,0.561166,0.613283,21939.773423
印度 (n),印度,,notion,25,0,821,2419,0.693016,3,0.555119,0.604888,6230.51584
之页 (n),之页,,notion,3,0,55,306,0.029807,4,0.470792,0.484217,56.945591
重庆 (n),重庆,,notion,41,0,435,985,0.240969,3,0.52298,0.552685,16000.432025
中国 (n),中国,,notion,345,0,2423,59453,0.982793,3,0.73181,0.817462,325516.059379
先生 (n),先生,,notion,205,0,1805,12644,0.694987,3,0.653187,0.736009,190403.421258
胜利 (n),胜利,,notion,87,0,1513,4851,0.849553,3,0.620746,0.697141,76288.500044
美国 (n),美国,,notion,271,0,2027,41393,0.9287,3,0.679138,0.765171,219254.297455
大会 (n),大会,,notion,17,0,681,7193,0.656892,3,0.54333,0.586132,3741.963032
纪念 (n),纪念,,notion,72,0,1481,14467,0.854434,3,0.617628,0.692987,54700.156439
会议 (n),会议,,notion,63,0,1057,4782,0.521268,3,0.577139,0.63698,26203.749534
战后 (n),战后,,notion,36,0,709,1681,0.364314,3,0.546445,0.590329,9915.796089
柏林 (n),柏林,,notion,12,0,746,3229,0.676327,3,0.548174,0.594526,3943.446568
前后 (n),前后,,notion,27,0,464,1998,0.254273,3,0.525648,0.556838,13065.999577
遭难 (n),遭难,,notion,4,0,285,1715,0.17703,3,0.510445,0.531742,400.65323
理学 (n),理学,,notion,3,0,111,193,0.07554,4,0.488342,0.501771,29.261825
诗词 (n),诗词,,notion,10,0,225,1379,0.138813,4,0.504567,0.522713,3554.866401
半月 (n),半月,,notion,5,0,200,691,0.121675,4,0.497261,0.515674,519.436642
国际 (n),国际,,notion,61,0,1288,9890,0.822178,3,0.598524,0.667497,38504.85975
一二 (n),一二,,notion,9,0,641,1974,0.639669,3,0.539256,0.580317,6423.258064
航讯 (n),航讯,,notion,15,0,679,1756,0.650094,3,0.543795,0.586219,5840.336487
问题 (n),问题,,notion,309,0,2531,22658,1,3,0.747012,0.831541,325260.770399
英国 (n),英国,,notion,57,0,850,3342,0.414375,3,0.558208,0.609085,22990.915838
延安 (n),延安,,notion,9,0,329,1068,0.194165,4,0.514301,0.53806,1014.660751
日记 (n),日记,,notion,13,0,327,1387,0.200267,3,0.514787,0.538169,8851.598661
云南 (n),云南,,notion,11,0,142,624,0.086062,3,0.494295,0.508569,483.725158
讲话 (n),讲话,,notion,5,0,51,337,0.033634,4,0.472718,0.485266,95.319727
政治 (n),政治,,notion,176,0,2056,22152,0.94859,3,0.682543,0.768931,151898.114877
人间 (n),人间,,notion,5,0,77,127,0.046214,4,0.482654,0.494775,491.684388
工作 (n),工作,,notion,89,0,1248,12216,0.759225,3,0.593955,0.661857,69811.192211
八一 (n),八一,,notion,10,0,313,764,0.169112,4,0.511953,0.535174,1306.837521
内战 (n),内战,,notion,99,0,1528,9789,0.85548,3,0.622469,0.699196,63795.808332
和平 (n),和平,,notion,157,0,2100,32491,0.948282,3,0.688211,0.77479,168175.678833
物价 (n),物价,,notion,38,0,500,1507,0.233564,3,0.527978,0.561385,15753.810016
第八 (n),第八,,notion,6,0,187,371,0.111961,3,0.500722,0.516833,511.058075
人民 (n),人民,,notion,142,0,1617,13646,0.849832,3,0.632068,0.711044,134474.559566
提高 (n),提高,,notion,5,0,128,187,0.081088,4,0.491744,0.505618,212.951853
改造 (n),改造,,notion,16,0,378,818,0.177498,4,0.517794,0.54453,4324.833788
诚实 (n),诚实,,notion,2,0,151,271,0.093209,4,0.494295,0.509378,66.644328
殖民地 (n),殖民地,,notion,5,0,122,158,0.0917,4,0.490289,0.504088,135.689642
对华政策 (n),对华政策,,notion,32,0,968,6951,0.734012,3,0.5676,0.624344,11640.07657
努力 (n),努力,,notion,22,0,385,793,0.230968,4,0.519984,0.546498,3158.510044
参政会 (n),参政会,,notion,10,0,776,2132,0.693383,3,0.551584,0.599029,2971.497726
国民大会 (n),国民大会,,notion,13,0,528,1269,0.311192,3,0.530845,0.565539,5151.238037
