Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
时事 (n),解剖 (n),Undirected,232260,notion-notion,,50,,,,notion<--->notion
时事 (n),民主 (n),Undirected,232261,notion-notion,,13,,,,notion<--->notion
时事 (n),世界 (n),Undirected,232262,notion-notion,,38,,,,notion<--->notion
时事 (n),以后 (n),Undirected,232263,notion-notion,,20,,,,notion<--->notion
时事 (n),中国 (n),Undirected,232264,notion-notion,,8,,,,notion<--->notion
时事 (n),先生 (n),Undirected,232265,notion-notion,,2,,,,notion<--->notion
时事 (n),胜利 (n),Undirected,232266,notion-notion,,24,,,,notion<--->notion
时事 (n),美国 (n),Undirected,232267,notion-notion,,2,,,,notion<--->notion
时事 (n),会议 (n),Undirected,232268,notion-notion,,24,,,,notion<--->notion
时事 (n),柏林 (n),Undirected,232269,notion-notion,,15,,,,notion<--->notion
时事 (n),国际 (n),Undirected,232270,notion-notion,,8,,,,notion<--->notion
时事 (n),问题 (n),Undirected,232271,notion-notion,,7,,,,notion<--->notion
时事 (n),英国 (n),Undirected,232272,notion-notion,,5,,,,notion<--->notion
时事 (n),和平 (n),Undirected,232273,notion-notion,,26,,,,notion<--->notion
时事 (n),人民 (n),Undirected,232274,notion-notion,,5,,,,notion<--->notion
时事 (n),对华政策 (n),Undirected,232275,notion-notion,,2,,,,notion<--->notion
时事 (n),八年 (n),Undirected,232276,notion-notion,,5,,,,notion<--->notion
时事 (n),战局 (n),Undirected,232277,notion-notion,,14,,,,notion<--->notion
时事 (n),欧洲 (n),Undirected,232278,notion-notion,,19,,,,notion<--->notion
时事 (n),华沙 (n),Undirected,232279,notion-notion,,10,,,,notion<--->notion
时事 (n),恢复 (n),Undirected,232280,notion-notion,,10,,,,notion<--->notion
时事 (n),欧战 (n),Undirected,232281,notion-notion,,10,,,,notion<--->notion
时事 (n),苏联 (n),Undirected,232282,notion-notion,,5,,,,notion<--->notion
时事 (n),一次 (n),Undirected,232283,notion-notion,,14,,,,notion<--->notion
时事 (n),三十一日 (n),Undirected,232284,notion-notion,,14,,,,notion<--->notion
时事 (n),不要 (n),Undirected,232285,notion-notion,,14,,,,notion<--->notion
时事 (n),协调 (n),Undirected,232286,notion-notion,,14,,,,notion<--->notion
时事 (n),国内 (n),Undirected,232287,notion-notion,,14,,,,notion<--->notion
时事 (n),阶段 (n),Undirected,232288,notion-notion,,19,,,,notion<--->notion
时事 (n),最后 (n),Undirected,232289,notion-notion,,2,,,,notion<--->notion
时事 (n),日本 (n),Undirected,232290,notion-notion,,1,,,,notion<--->notion
时事 (n),杜鲁门 (n),Undirected,232291,notion-notion,,5,,,,notion<--->notion
时事 (n),成立 (n),Undirected,232292,notion-notion,,5,,,,notion<--->notion
时事 (n),民主运动 (n),Undirected,232293,notion-notion,,1,,,,notion<--->notion
时事 (n),战争 (n),Undirected,232294,notion-notion,,7,,,,notion<--->notion
时事 (n),日寇 (n),Undirected,232295,notion-notion,,3,,,,notion<--->notion
时事 (n),罗斯福 (n),Undirected,232296,notion-notion,,7,,,,notion<--->notion
时事 (n),时代 (n),Undirected,232297,notion-notion,,5,,,,notion<--->notion
时事 (n),前途 (n),Undirected,232298,notion-notion,,7,,,,notion<--->notion
时事 (n),亚洲 (n),Undirected,232299,notion-notion,,7,,,,notion<--->notion
时事 (n),前夕 (n),Undirected,232300,notion-notion,,5,,,,notion<--->notion
时事 (n),旧金山 (n),Undirected,232301,notion-notion,,7,,,,notion<--->notion
时事 (n),来华 (n),Undirected,232302,notion-notion,,2,,,,notion<--->notion
时事 (n),马歇尔 (n),Undirected,232303,notion-notion,,2,,,,notion<--->notion
时事 (n),还是 (n),Undirected,232304,notion-notion,,1,,,,notion<--->notion
时事 (n),决定 (n),Undirected,232305,notion-notion,,7,,,,notion<--->notion
时事 (n),力量 (n),Undirected,232306,notion-notion,,5,,,,notion<--->notion
时事 (n),波茨坦 (n),Undirected,232307,notion-notion,,5,,,,notion<--->notion
时事 (n),联合政府 (n),Undirected,232308,notion-notion,,1,,,,notion<--->notion
时事 (n),晚会 (n),Undirected,232309,notion-notion,,1,,,,notion<--->notion
时事 (n),局势 (n),Undirected,232310,notion-notion,,5,,,,notion<--->notion
时事 (n),联合国 (n),Undirected,232311,notion-notion,,2,,,,notion<--->notion
时事 (n),主张 (n),Undirected,232312,notion-notion,,2,,,,notion<--->notion
时事 (n),改组 (n),Undirected,232313,notion-notion,,5,,,,notion<--->notion
时事 (n),需要 (n),Undirected,232314,notion-notion,,7,,,,notion<--->notion
时事 (n),联大 (n),Undirected,232315,notion-notion,,1,,,,notion<--->notion
时事 (n),速写 (n),Undirected,232316,notion-notion,,1,,,,notion<--->notion
时事 (n),集会 (n),Undirected,232317,notion-notion,,1,,,,notion<--->notion
时事 (n),声中 (n),Undirected,232318,notion-notion,,5,,,,notion<--->notion
时事 (n),攻势 (n),Undirected,232319,notion-notion,,6,,,,notion<--->notion
时事 (n),远东 (n),Undirected,232320,notion-notion,,5,,,,notion<--->notion
时事 (n),克里米亚 (n),Undirected,232321,notion-notion,,12,,,,notion<--->notion
时事 (n),不能 (n),Undirected,232322,notion-notion,,7,,,,notion<--->notion
时事 (n),将军 (n),Undirected,232323,notion-notion,,2,,,,notion<--->notion
时事 (n),中山 (n),Undirected,232324,notion-notion,,2,,,,notion<--->notion
时事 (n),前瞻 (n),Undirected,232325,notion-notion,,2,,,,notion<--->notion
时事 (n),回念 (n),Undirected,232326,notion-notion,,2,,,,notion<--->notion
时事 (n),大局 (n),Undirected,232327,notion-notion,,2,,,,notion<--->notion
时事 (n),崎岖 (n),Undirected,232328,notion-notion,,2,,,,notion<--->notion
时事 (n),泛谈 (n),Undirected,232329,notion-notion,,2,,,,notion<--->notion
时事 (n),迂回前进 (n),Undirected,232330,notion-notion,,2,,,,notion<--->notion
时事 (n),道路 (n),Undirected,232331,notion-notion,,9,,,,notion<--->notion
时事 (n),阴谋 (n),Undirected,232332,notion-notion,,2,,,,notion<--->notion
时事 (n),险阻 (n),Undirected,232333,notion-notion,,2,,,,notion<--->notion
时事 (n),进步 (n),Undirected,232334,notion-notion,,7,,,,notion<--->notion
时事 (n),大陆 (n),Undirected,232335,notion-notion,,1,,,,notion<--->notion
时事 (n),政局 (n),Undirected,232336,notion-notion,,6,,,,notion<--->notion
时事 (n),激荡 (n),Undirected,232337,notion-notion,,7,,,,notion<--->notion
时事 (n),一段 (n),Undirected,232338,notion-notion,,7,,,,notion<--->notion
时事 (n),而作 (n),Undirected,232339,notion-notion,,5,,,,notion<--->notion
时事 (n),不许 (n),Undirected,232340,notion-notion,,1,,,,notion<--->notion
时事 (n),东海 (n),Undirected,232341,notion-notion,,1,,,,notion<--->notion
时事 (n),变质 (n),Undirected,232342,notion-notion,,1,,,,notion<--->notion
时事 (n),崩溃 (n),Undirected,232343,notion-notion,,1,,,,notion<--->notion
时事 (n),投降 (n),Undirected,232344,notion-notion,,1,,,,notion<--->notion
时事 (n),本土 (n),Undirected,232345,notion-notion,,1,,,,notion<--->notion
时事 (n),沸腾 (n),Undirected,232346,notion-notion,,1,,,,notion<--->notion
时事 (n),美苏关系 (n),Undirected,232347,notion-notion,,1,,,,notion<--->notion
时事 (n),三八 (n),Undirected,232348,notion-notion,,5,,,,notion<--->notion
时事 (n),东欧 (n),Undirected,232349,notion-notion,,5,,,,notion<--->notion
时事 (n),二次 (n),Undirected,232350,notion-notion,,5,,,,notion<--->notion
时事 (n),内阁 (n),Undirected,232351,notion-notion,,5,,,,notion<--->notion
