Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
生活 (n),生活,,notion,12,0,107,243,0.356346,5,0.45057,0.517698,2003.542178
民主 (n),民主,,notion,13,0,100,178,0.285036,5,0.472425,0.530474,15057.698678
经济 (n),经济,,notion,9,0,43,354,0.053501,5,0.396985,0.440366,4661.098185
世界 (n),世界,,notion,9,0,61,90,0.123814,5,0.435929,0.486662,8695.422058
以后 (n),以后,,notion,1,0,16,38,0.05184,6,0.383702,0.417323,0
重庆 (n),重庆,,notion,1,0,1,1,0.000182,1,1,1,0
中国 (n),中国,,notion,8,0,51,54,0.070195,5,0.415304,0.463338,8334.864517
先生 (n),先生,,notion,9,0,48,86,0.059641,5,0.42883,0.470933,14461.377388
胜利 (n),胜利,,notion,6,0,34,78,0.06653,6,0.420959,0.460103,2316.341741
美国 (n),美国,,notion,8,0,52,205,0.130198,5,0.418235,0.466854,7815.417195
大会 (n),大会,,notion,1,0,11,11,0.032504,6,0.370892,0.402789,0
纪念 (n),纪念,,notion,2,0,21,22,0.017512,6,0.325699,0.354548,477.440591
会议 (n),会议,,notion,4,0,46,66,0.105039,5,0.411697,0.457712,5954.163521
战后 (n),战后,,notion,1,0,19,22,0.10336,6,0.372446,0.409025,0
柏林 (n),柏林,,notion,1,0,5,27,0.008933,5,0.332709,0.353751,0
前后 (n),前后,,notion,2,0,4,4,0.000777,1,1,1,4
国际 (n),国际,,notion,1,0,28,320,0.077987,5,0.397651,0.435091,0
问题 (n),问题,,notion,24,0,146,280,0.383062,4,0.496855,0.568448,26867.783866
日记 (n),日记,,notion,1,0,1,1,0.000182,1,1,1,0
云南 (n),云南,,notion,1,0,1,1,0.000182,1,1,1,0
政治 (n),政治,,notion,19,0,149,394,0.424498,5,0.482361,0.561416,16695.253806
工作 (n),工作,,notion,1,0,6,18,0.0015,2,0.875,0.928571,0
内战 (n),内战,,notion,1,0,26,29,0.13856,5,0.398766,0.436967,0
和平 (n),和平,,notion,34,0,257,764,1,5,0.553307,0.655063,62452.339516
人民 (n),人民,,notion,14,0,78,131,0.10673,5,0.423214,0.481013,13658.699185
提高 (n),提高,,notion,1,0,4,4,0.004581,6,0.30294,0.321238,0
对华政策 (n),对华政策,,notion,2,0,17,17,0.034185,6,0.367632,0.400797,254.443146
青年 (n),青年,,notion,1,0,2,2,0.000387,1,1,1,0
历史 (n),历史,,notion,1,0,5,5,0.011512,6,0.33396,0.354173,0
外长 (n),外长,,notion,1,0,11,11,0.032504,6,0.370892,0.402789,0
社会 (n),社会,,notion,1,0,11,11,0.067952,6,0.345649,0.377332,0
逻辑 (n),逻辑,,notion,1,0,64,68,0.614974,6,0.407216,0.462447,0
战局 (n),战局,,notion,3,0,33,467,0.074516,6,0.383909,0.427168,761.161954
独立运动 (n),独立运动,,notion,1,0,19,22,0.10336,6,0.372446,0.409025,0
欧洲 (n),欧洲,,notion,2,0,32,39,0.077631,5,0.391736,0.431106,539.09329
教育 (n),教育,,notion,2,0,12,19,0.021206,6,0.351285,0.37902,844.482016
恢复 (n),恢复,,notion,1,0,4,4,0.006711,6,0.323623,0.341842,0
几个 (n),几个,,notion,1,0,5,5,0.001165,1,1,1,0
研究 (n),研究,,notion,1,0,9,10,0.012709,5,0.344477,0.369409,0
苏联 (n),苏联,,notion,2,0,4,4,0.005909,6,0.320704,0.342944,186.835354
待续 (n),待续,,notion,1,0,3,18,0.002072,6,0.300507,0.314932,0
不要 (n),不要,,notion,1,0,4,4,0.020829,6,0.375793,0.402461,0
阶段 (n),阶段,,notion,3,0,46,89,0.09613,5,0.408152,0.45361,1413.994921
检讨 (n),检讨,,notion,1,0,3,3,0.025435,5,0.367442,0.392546,0
香港 (n),香港,,notion,1,0,9,20,0.025414,5,0.365365,0.389756,0
农村 (n),农村,,notion,1,0,2,2,0.000501,7,0.234576,0.243641,0
昆明 (n),昆明,,notion,1,0,1,1,0.000182,1,1,1,0
思想 (n),思想,,notion,1,0,1,1,0.000182,1,1,1,0
准备 (n),准备,,notion,3,0,37,58,0.048791,5,0.373424,0.41294,2276.348612
最后 (n),最后,,notion,3,0,16,16,0.012649,6,0.33116,0.359048,2639.596074
日本 (n),日本,,notion,7,0,115,139,0.701116,5,0.467763,0.535631,16506.449826
思潮 (n),思潮,,notion,1,0,6,6,0.001896,7,0.234653,0.248794,0
展望 (n),展望,,notion,9,0,134,1402,0.325634,5,0.463494,0.542218,14005.61577
未来 (n),未来,,notion,1,0,20,23,0.116079,5,0.396321,0.430286,0
莫斯科 (n),莫斯科,,notion,1,0,1,1,0.000259,2,0.538462,0.571429,0
方式 (n),方式,,notion,1,0,10,11,0.003431,7,0.24341,0.259514,0
法国 (n),法国,,notion,1,0,26,33,0.056284,5,0.371862,0.407361,0
解放 (n),解放,,notion,7,0,63,96,0.204994,5,0.437808,0.487482,6149.029408
民族 (n),民族,,notion,1,0,11,11,0.011048,6,0.302039,0.323933,0
社会主义 (n),社会主义,,notion,5,0,26,30,0.012466,6,0.305806,0.335021,6478.182422
庆祝 (n),庆祝,,notion,1,0,4,5,0.011094,6,0.333803,0.353469,0
应有 (n),应有,,notion,3,0,12,129,0.019669,5,0.336488,0.36233,318.651698
汉奸 (n),汉奸,,notion,1,0,8,17,0.002242,1,1,1,0
始末 (n),始末,,notion,1,0,5,27,0.008933,5,0.332709,0.353751,0
欢迎 (n),欢迎,,notion,2,0,8,8,0.006477,6,0.32027,0.34067,863.993275
新年 (n),新年,,notion,3,0,22,25,0.054661,5,0.403061,0.435185,4470.278129
杂谈 (n),杂谈,,notion,1,0,7,16,0.001845,1,1,1,0
反对 (n),反对,,notion,1,0,3,3,0.004062,6,0.316141,0.331997,0
上海 (n),上海,,notion,2,0,5,5,0.007502,5,0.334746,0.354337,195.974887
健全 (n),健全,,notion,1,0,4,4,0.009256,6,0.325997,0.349039,0
大学 (n),大学,,notion,1,0,35,37,0.186322,5,0.406518,0.447164,0
应该 (n),应该,,notion,2,0,22,23,0.111114,5,0.410271,0.444937,1171.478511
