Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事,时事,notion,"#FFFF00",0,9,3131,0,110,328168,0.965372,2,0.933777,0.96454,7694.173656
解剖,解剖,notion,"#FFFF00",0,3,2273,0,11,43475,0.774185,2,0.754421,0.83724,2907.54248
会议,会议,notion,"#FFFF00",0,16,3285,0,95,245716,0.995247,2,0.975398,0.987389,8992.045208
流亡,流亡,notion,"#FFFF00",0,5,1929,0,15,24660,0.621951,2,0.700478,0.786202,3530.764069
生活,生活,notion,"#FFFF00",0,16,3364,0,175,389768,0.999235,2,0.998223,0.99911,11539.209444
韬奋,韬奋,notion,"#FFFF00",0,6,2739,0,22,44806,0.881699,2,0.842289,0.90638,5220.752802
南行,南行,notion,"#FFFF00",0,3,2211,0,7,13753,0.727451,2,0.744094,0.828042,3164.455898
民主,民主,notion,"#FFFF00",0,19,3370,0,386,860932,1,1,1,1,11617.94366
经济,经济,notion,"#FFFF00",0,19,3370,0,302,722177,1,1,1,1,11617.94366
世界,世界,notion,"#FFFF00",0,18,3370,0,167,437864,1,1,1,1,11617.94366
中国,中国,notion,"#FFFF00",0,19,3370,0,578,1476951,1,1,1,1,11617.94366
以后,以后,notion,"#FFFF00",0,17,3368,0,54,112291,0.999774,2,0.999407,0.999703,11581.721705
先生,先生,notion,"#FFFF00",0,18,3370,0,293,599017,1,1,1,1,11617.94366
印度,印度,notion,"#FFFF00",0,11,3251,0,32,87810,0.990621,2,0.965893,0.982344,8574.842412
安定,安定,notion,"#FFFF00",0,4,2683,0,10,31123,0.87121,2,0.830663,0.898071,4757.470615
旧金山,旧金山,notion,"#FFFF00",0,5,2425,0,17,46956,0.803901,2,0.780997,0.859792,3736.168423
自己,自己,notion,"#FFFF00",0,13,3254,0,31,60700,0.990329,2,0.966724,0.982789,8668.383546
重庆,重庆,notion,"#FFFF00",0,10,3236,0,61,142654,0.988443,2,0.961758,0.980119,8397.69278
一二,一二,notion,"#FFFF00",0,6,2834,0,10,18374,0.910319,2,0.862775,0.920475,5558.607197
前后,前后,notion,"#FFFF00",0,14,3363,0,43,87971,0.999211,2,0.997927,0.998961,11482.550307
半月,半月,notion,"#FFFF00",0,3,1522,0,7,13038,0.506022,2,0.645841,0.725816,2211.378679
团结,团结,notion,"#FFFF00",0,9,3141,0,35,90744,0.969872,2,0.936371,0.966024,7669.992463
国际,国际,notion,"#FFFF00",0,16,3369,0,100,244954,0.999914,2,0.999703,0.999852,11597.852355
大会,大会,notion,"#FFFF00",0,11,3281,0,31,81835,0.986596,2,0.97427,0.986795,10579.017963
延安,延安,notion,"#FFFF00",0,4,2678,0,11,35442,0.86869,2,0.829641,0.897329,4720.201981
战后,战后,notion,"#FFFF00",0,13,3260,0,39,97151,0.990955,2,0.968391,0.98368,8736.553584
日记,日记,notion,"#FFFF00",0,11,3259,0,24,58841,0.978278,2,0.968113,0.983531,10583.560548
柏林,柏林,notion,"#FFFF00",0,8,3186,0,18,49861,0.978593,2,0.948227,0.9727,7990.105129
理学,理学,notion,"#FFFF00",0,3,2271,0,5,12037,0.756474,2,0.754084,0.836944,3188.006611
社会,社会,notion,"#FFFF00",0,12,3260,0,71,180950,0.991805,2,0.968391,0.98368,8687.075352
纪念,纪念,notion,"#FFFF00",0,17,3368,0,99,215346,0.999883,2,0.999407,0.999703,11555.993127
美国,美国,notion,"#FFFF00",0,18,3370,0,491,1188496,1,1,1,1,11617.94366
胜利,胜利,notion,"#FFFF00",0,12,3274,0,102,256485,0.99423,2,0.972302,0.985757,8793.388528
航讯,航讯,notion,"#FFFF00",0,3,2244,0,18,63549,0.760167,2,0.749555,0.832938,2942.415228
英国,英国,notion,"#FFFF00",0,15,3279,0,79,212739,0.994478,2,0.973707,0.986499,8922.268474
诗词,诗词,notion,"#FFFF00",0,5,2638,0,18,49352,0.849053,2,0.82155,0.891395,4789.085753
遭难,遭难,notion,"#FFFF00",0,3,1469,0,17,27832,0.542325,2,0.639347,0.717953,991.336757
问题,问题,notion,"#FFFF00",0,20,3370,0,423,997854,1,1,1,1,11617.94366
一些,一些,notion,"#FFFF00",0,5,2481,0,6,12653,0.835305,2,0.791266,0.868101,3736.032898
一次,一次,notion,"#FFFF00",0,9,3147,0,25,60955,0.97123,2,0.937935,0.966914,7737.910786
不怕,不怕,notion,"#FFFF00",0,2,2094,0,3,11288,0.712045,2,0.725355,0.810682,2481.256737
不要,不要,notion,"#FFFF00",0,15,3365,0,33,74501,0.999471,2,0.998519,0.999258,11519.062457
云南,云南,notion,"#FFFF00",0,5,2826,0,13,46301,0.890088,2,0.861012,0.919288,5854.328405
人民,人民,notion,"#FFFF00",0,17,3370,0,177,335293,1,1,1,1,11617.94366
人间,人间,notion,"#FFFF00",0,4,2097,0,7,14725,0.730749,2,0.725824,0.811128,2434.535595
介绍,介绍,notion,"#FFFF00",0,9,3087,0,21,49441,0.950229,2,0.922529,0.958012,7550.364559
伦敦,伦敦,notion,"#FFFF00",0,7,2894,0,21,63644,0.916292,2,0.876235,0.929377,6031.981798
保障,保障,notion,"#FFFF00",0,11,3209,0,29,66880,0.971789,2,0.954404,0.976113,10034.497053
八一,八一,notion,"#FFFF00",0,5,2592,0,11,36395,0.818076,2,0.81244,0.88457,6133.698674
八年,八年,notion,"#FFFF00",0,4,2236,0,14,28078,0.745894,2,0.748224,0.831751,3206.044256
内战,内战,notion,"#FFFF00",0,17,3368,0,127,255624,0.999755,2,0.999407,0.999703,11590.102205
农村,农村,notion,"#FFFF00",0,13,3273,0,70,170540,0.993743,2,0.972022,0.985608,8840.310119
准备,准备,notion,"#FFFF00",0,9,3033,0,14,24112,0.932819,2,0.909091,0.95,8798.593933
几个,几个,notion,"#FFFF00",0,9,3182,0,24,62995,0.978296,2,0.947161,0.972107,7971.881646
动态,动态,notion,"#FFFF00",0,5,2734,0,11,35486,0.868282,2,0.841238,0.905638,5376.719759
努力,努力,notion,"#FFFF00",0,11,3166,0,26,65550,0.973569,2,0.942921,0.969733,7971.120997
十月革命,十月革命,notion,"#FFFF00",0,4,2172,0,5,8820,0.743671,2,0.737741,0.822255,2699.90995
危机,危机,notion,"#FFFF00",0,14,3280,0,43,98754,0.994715,2,0.973988,0.986647,8919.371322
历史,历史,notion,"#FFFF00",0,15,3283,0,108,263914,0.99505,2,0.974834,0.987092,8960.377037
原子弹,原子弹,notion,"#FFFF00",0,7,2683,0,17,31319,0.856644,2,0.830663,0.898071,5218.046424
原子能,原子能,notion,"#FFFF00",0,6,2883,0,9,23143,0.922194,2,0.873736,0.927745,5762.656202
参政会,参政会,notion,"#FFFF00",0,7,3051,0,15,42514,0.953611,2,0.913527,0.952671,6933.978271
各界,各界,notion,"#FFFF00",0,5,2756,0,12,26067,0.885096,2,0.845884,0.908902,5251.870992
和平,和平,notion,"#FFFF00",0,20,3370,0,234,514876,1,1,1,1,11617.94366
国内,国内,notion,"#FFFF00",0,14,3357,0,35,98332,0.998072,2,0.996157,0.998071,11428.603017
国大,国大,notion,"#FFFF00",0,12,3258,0,29,72762,0.99166,2,0.967835,0.983383,8637.322389
国民大会,国民大会,notion,"#FFFF00",0,8,2749,0,17,27881,0.880185,2,0.8444,0.907864,5450.843331
地理,地理,notion,"#FFFF00",0,2,1690,0,3,5977,0.589612,2,0.667327,0.750742,1534.061924
